flowtime, s1, s2, s3
0.0, 0.2758787554208533, 1.3385269231139136, 2.4236800209983933
0.1, 0.18581150677425332, 1.1130472407860994, 2.1585905308174356
0.2, 0.1467026037324253, 1.0517799436727309, 2.1216884111687158
0.3, 0.11930384925968321, 1.0145445694995765, 2.1149124512812922
0.4, 0.09772301562862008, 0.982614926595267, 2.1133668249849684
0.5, 0.0802846452471749, 0.9514056002204259, 2.112861575319886
0.6, 0.06608898816726164, 0.9180187340572676, 2.11261907966546
0.7, 0.054489356830860515, 0.8791415052213827, 2.1124735168513955
0.8, 0.04498462212623138, 0.830524083627709, 2.112377800225305
0.9, 0.03717861276014134, 0.7662730435973697, 2.1123121713489263
1.0, 0.030755380373860112, 0.6756218827988447, 2.112265633742655
1.1, 0.025461400326412684, 0.5483358473617274, 2.1122312676401322
1.2, 0.021092187627659242, 0.4209752692410492, 2.11220452376911
1.3, 0.01748207235126442, 0.32247699951499864, 2.1121823536669324
1.4, 0.014496310096921988, 0.24880131084973367, 2.112162683356522
1.5, 0.012024941693324166, 0.1935045729881537, 2.1121440743412254
1.6, 0.009977976253970018, 0.15169155995117087, 2.1121255005682316
1.7, 0.008281584556552075, 0.11982668680223657, 2.112106200330263
1.8, 0.006875070607762502, 0.09533781091207692, 2.112085577231545
1.9, 0.005708447711488329, 0.07634839489901091, 2.112063133384587
2.0, 0.004740487914995863, 0.0614908002901117, 2.1120384237619736
2.1, 0.003937144933845198, 0.049766889414435925, 2.1120110243773884
2.2, 0.0032702737630452986, 0.040444238310734994, 2.111980509431726
2.3, 0.002716587433187339, 0.03298071498366472, 2.111946434178586
2.4, 0.0022568043678423445, 0.026970735118597277, 2.11190832133029
2.5, 0.0018749496812380776, 0.022107354475207997, 2.1118656495262473
2.6, 0.001557781337499116, 0.018155588527209734, 2.1118178428450083
2.7, 0.0012943179607597904, 0.014933562589464088, 2.1117642606399603
2.8, 0.0010754496643769213, 0.012299088653710901, 2.1117041871699085
2.9, 0.000893616868073289, 0.010140005136154479, 2.111636820616129
3.0, 0.0007425449232913901, 0.008367139814987979, 2.1115612611466927
3.1, 0.0006170246397882813, 0.006909117276677438, 2.1114764977271037
3.2, 0.0005127306285083018, 0.0057084774511983755, 2.1113813933868903
3.3, 0.0004260708439490457, 0.004718737516075926, 2.111274668647756
3.4, 0.0003540618976607166, 0.0039021414141787248, 2.11115488279791
3.5, 0.0002942256802994535, 0.0032279171923849156, 2.111020412664614
3.6, 0.0002445036171908163, 0.0026709142557409934, 2.1108694284935563
3.7, 0.00020318552644047383, 0.0022105283877392667, 2.110699866487159
3.8, 0.00016885057671604543, 0.0018298472813018433, 2.1105093974862057
3.9, 0.0001403182757376953, 0.0015149668541803187, 2.1102953911966487
4.0, 0.00011660777770015917, 0.0012544411154422172, 2.1100548752651473
4.1, 9.690409232711676e-5, 0.0010388373654435666, 2.109784488391478
4.2, 8.053002135505016e-5, 0.0008603751009970479, 2.1094804265271567
4.3, 6.69228491433017e-5, 0.0007126318743658351, 2.1091383810484774
4.4, 5.5614980287093734e-5, 0.0005903030088021109, 2.1087534676010806
4.5, 4.621785467709687e-5, 0.0004890048435470288, 2.1083201440903396
4.6, 3.840858440297295e-5, 0.0004051133046320071, 2.1078321160323377
4.7, 3.191885134312949e-5, 0.00033563124217832896, 2.1072822271806673
4.8, 2.652568259405008e-5, 0.0002780792601589446, 2.1066623330018754
4.9, 2.204378585044561e-5, 0.0002304057775972928, 2.105963154186882
5.0, 1.831918074595097e-5, 0.000190912864530423, 2.1051741069613494
5.1, 1.5223906897797693e-5, 0.00015819503888546183, 2.1042831065046497
5.2, 1.2651626534243902e-5, 0.0001310887270409184, 2.1032763393270133
5.3, 1.0513970416792998e-5, 0.00010863050805059933, 2.1021380000264434
