flowtime, d1, d2, d3
0.0, 0.9999999999999998 + 0.0im, 1.0000000000000002 - 3.469446951953614e-18im, 0.9999999999999999 + 0.0im
0.1, 1.0000000000000029 - 4.87890977618477e-19im, 0.9999999999999999 - 6.938893903907228e-18im, 0.9999999999999999 + 6.938893903907228e-18im
0.2, 1.0000000000000036 - 2.168404344971009e-19im, 1.0000000000000002 + 0.0im, 0.999999999999999 + 0.0im
0.3, 1.0000000000000027 - 8.673617379884035e-19im, 0.9999999999999997 - 1.3877787807814457e-17im, 1.0000000000000018 - 2.0816681711721685e-17im
0.4, 1.0000000000000016 + 8.673617379884035e-19im, 0.9999999999999987 - 2.0816681711721685e-17im, 1.0000000000000016 - 3.122502256758253e-17im
0.5, 1.000000000000001 + 8.673617379884035e-19im, 0.9999999999999989 - 6.938893903907228e-18im, 1.000000000000002 - 3.8163916471489756e-17im
0.6, 1.000000000000002 + 4.336808689942018e-18im, 0.9999999999999991 - 1.3877787807814457e-17im, 1.0000000000000004 - 2.7755575615628914e-17im
0.7, 1.0000000000000053 + 6.938893903907228e-18im, 0.9999999999999984 - 6.938893903907228e-18im, 0.9999999999999981 - 2.7755575615628914e-17im
0.8, 1.0000000000000049 + 6.071532165918825e-18im, 0.9999999999999992 - 1.0408340855860843e-17im, 0.9999999999999983 - 2.7755575615628914e-17im
0.9, 1.0000000000000047 + 5.204170427930421e-18im, 0.9999999999999966 - 1.214306433183765e-17im, 0.9999999999999983 - 3.122502256758253e-17im
1.0, 1.000000000000006 + 2.6020852139652106e-18im, 0.9999999999999981 - 1.5612511283791264e-17im, 0.9999999999999983 - 3.122502256758253e-17im
1.1, 1.0000000000000073 + 4.336808689942018e-18im, 0.9999999999999979 - 1.6479873021779667e-17im, 0.9999999999999982 - 2.7755575615628914e-17im
1.2, 1.0000000000000056 + 5.204170427930421e-18im, 1.0 - 1.6479873021779667e-17im, 0.9999999999999974 - 5.204170427930421e-17im
1.3, 1.0000000000000056 + 4.336808689942018e-18im, 1.0000000000000009 - 1.3877787807814457e-17im, 0.9999999999999944 - 5.204170427930421e-17im
1.4, 1.0000000000000053 + 4.7704895589362195e-18im, 1.0000000000000027 - 1.3877787807814457e-17im, 0.9999999999999928 - 5.551115123125783e-17im
1.5, 1.0000000000000038 + 5.204170427930421e-18im, 1.0000000000000042 - 1.3010426069826053e-17im, 0.9999999999999938 - 5.551115123125783e-17im
1.6, 1.0000000000000049 + 2.6020852139652106e-18im, 1.0000000000000053 - 1.1709383462843448e-17im, 0.9999999999999951 - 5.898059818321144e-17im
1.7, 1.000000000000004 + 2.168404344971009e-18im, 1.0000000000000044 - 1.1275702593849246e-17im, 0.9999999999999961 - 4.85722573273506e-17im
1.8, 1.0000000000000047 + 1.734723475976807e-18im, 1.0000000000000047 - 1.1275702593849246e-17im, 0.9999999999999944 - 3.8163916471489756e-17im
1.9, 1.000000000000005 + 1.5178830414797062e-18im, 1.0000000000000044 - 1.0408340855860843e-17im, 0.9999999999999951 - 3.122502256758253e-17im
2.0, 1.0000000000000058 + 1.5178830414797062e-18im, 1.0000000000000033 - 9.324138683375338e-18im, 0.9999999999999959 - 2.7755575615628914e-17im
2.1, 1.0000000000000075 + 1.734723475976807e-18im, 1.0000000000000022 - 9.75781955236954e-18im, 0.9999999999999978 - 2.7755575615628914e-17im
2.2, 1.0000000000000084 + 2.168404344971009e-18im, 1.0000000000000029 - 9.540979117872439e-18im, 0.9999999999999953 - 2.7755575615628914e-17im
2.3, 1.0000000000000104 + 2.7647155398380363e-18im, 1.0000000000000036 - 9.432558900623889e-18im, 0.9999999999999977 - 3.469446951953614e-17im
2.4, 1.0000000000000089 + 2.688059058111522e-18im, 1.0000000000000036 - 9.64939933512099e-18im, 0.9999999999999972 - 3.469446951953614e-17im
2.5, 1.00000000000001 + 2.7647155398380363e-18im, 1.0000000000000049 - 9.161508357502512e-18im, 0.9999999999999963 - 4.85722573273506e-17im
2.6, 1.0000000000000109 + 2.8189256484623115e-18im, 1.000000000000003 - 9.215718466126788e-18im, 0.9999999999999953 - 4.85722573273506e-17im
2.7, 1.0000000000000144 + 2.6020852139652106e-18im, 1.000000000000002 - 9.053088140253962e-18im, 0.9999999999999931 - 4.163336342344337e-17im
2.8, 1.000000000000015 + 2.6020852139652106e-18im, 1.0000000000000016 - 9.073416930988065e-18im, 0.9999999999999933 - 5.551115123125783e-17im
2.9, 1.000000000000014 + 2.3852447794681098e-18im, 1.0000000000000013 - 9.107298248878237e-18im, 0.9999999999999937 - 6.938893903907228e-17im
3.0, 1.0000000000000144 + 3.2526065174565133e-18im, 1.0000000000000018 - 9.107298248878237e-18im, 0.9999999999999939 - 6.245004513516506e-17im
3.1, 1.0000000000000153 + 3.686287386450715e-18im, 1.0000000000000027 - 9.107298248878237e-18im, 0.9999999999999948 - 6.938893903907228e-17im
3.2, 1.0000000000000164 + 3.469446951953614e-18im, 1.0000000000000002 - 9.134403303190375e-18im, 0.9999999999999957 - 6.938893903907228e-17im
3.3, 1.0000000000000169 + 4.7704895589362195e-18im, 1.0000000000000002 - 9.134403303190375e-18im, 0.9999999999999963 - 6.938893903907228e-17im
3.4, 1.0000000000000187 + 4.336808689942018e-18im, 0.9999999999999999 - 9.053088140253962e-18im, 0.999999999999998 - 4.163336342344337e-17im
3.5, 1.0000000000000213 + 5.204170427930421e-18im, 0.999999999999997 - 8.998878031629687e-18im, 0.999999999999997 - 1.3877787807814457e-17im
3.6, 1.0000000000000229 + 5.637851296924623e-18im, 0.9999999999999951 - 9.022594954152807e-18im, 0.9999999999999957 - 4.163336342344337e-17im
3.7, 1.000000000000023 + 3.903127820947816e-18im, 0.9999999999999946 - 8.998878031629687e-18im, 0.9999999999999956 + 1.3877787807814457e-17im
3.8, 1.0000000000000198 + 4.7704895589362195e-18im, 0.9999999999999941 - 8.836247705756861e-18im, 0.9999999999999976 + 0.0im
3.9, 1.0000000000000193 + 5.204170427930421e-18im, 0.9999999999999974 - 8.72782748850831e-18im, 0.9999999999999981 + 0.0im
4.0, 1.000000000000018 + 6.071532165918825e-18im, 0.999999999999997 - 8.836247705756861e-18im, 0.9999999999999984 - 2.7755575615628914e-17im
4.1, 1.000000000000019 + 4.7704895589362195e-18im, 0.9999999999999974 - 8.782037597132586e-18im, 0.9999999999999987 + 0.0im
4.2, 1.0000000000000195 + 4.7704895589362195e-18im, 0.9999999999999974 - 8.239936510889834e-18im, 0.9999999999999974 - 5.551115123125783e-17im
4.3, 1.000000000000018 + 5.204170427930421e-18im, 0.9999999999999967 - 8.239936510889834e-18im, 0.9999999999999967 + 0.0im
4.4, 1.000000000000018 + 5.204170427930421e-18im, 0.9999999999999949 - 8.023096076392733e-18im, 0.9999999999999976 + 5.551115123125783e-17im
4.5, 1.0000000000000209 + 1.1275702593849246e-17im, 0.9999999999999949 - 8.890457814381136e-18im, 0.999999999999997 + 1.942890293094024e-16im
4.6, 1.0000000000000213 + 9.540979117872439e-18im, 0.9999999999999951 - 7.806255641895632e-18im, 0.9999999999999972 + 2.7755575615628914e-16im
4.7, 1.0000000000000233 + 7.806255641895632e-18im, 0.9999999999999933 - 7.589415207398531e-18im, 0.9999999999999961 + 2.220446049250313e-16im
4.8, 1.000000000000024 + 8.673617379884035e-18im, 0.9999999999999925 - 8.673617379884035e-18im, 0.9999999999999984 + 2.498001805406602e-16im
4.9, 1.0000000000000242 + 8.673617379884035e-18im, 0.9999999999999936 - 1.0408340855860843e-17im, 0.9999999999999978 + 3.885780586188048e-16im
5.0, 1.0000000000000238 + 8.673617379884035e-18im, 0.9999999999999926 - 1.3877787807814457e-17im, 0.9999999999999979 + 2.498001805406602e-16im
5.1, 1.000000000000021 + 7.806255641895632e-18im, 0.999999999999991 - 1.1709383462843448e-17im, 0.9999999999999971 + 2.7755575615628914e-16im
5.2, 1.0000000000000189 + 7.806255641895632e-18im, 0.9999999999999902 - 1.3877787807814457e-17im, 0.9999999999999979 + 2.498001805406602e-16im
