flowtime, w1, w2, w3
0.0, 0.0024693749560417513, 0.7490244080133515, -1.513161250962397
0.1, 0.0012074820302503272, 0.7548600583261079, -1.5366754124413124
0.2, 0.0006243789680869978, 0.7543435358324141, -1.552773055171633
0.3, 0.00033836169172562797, 0.7491598269093264, -1.5639692027064989
0.4, 0.0001904996090374014, 0.7400305833845054, -1.5718358400111112
0.5, 0.0001105866816640845, 0.727061904397934, -1.5773885730222443
0.6, 6.578495789271885e-5, 0.7099119508294331, -1.5813021224655666
0.7, 3.990735545393322e-5, 0.6878805646660948, -1.5840356857515865
0.8, 2.4595080873866243e-5, 0.6599855168315175, -1.5859083602175752
0.9, 1.5355286120852327e-5, 0.6250716055089284, -1.5871458871047934
1.0, 9.689833315902922e-6, 0.5819830176106108, -1.58791039959515
1.1, 6.169833095772725e-6, 0.5298071473935149, -1.5883198086638906
1.2, 3.958570417136693e-6, 0.46818779802998667, -1.5884607083432085
1.3, 2.556451820824826e-6, 0.3977747872544446, -1.588397134275865
1.4, 1.6602922650332261e-6, 0.32103951660105123, -1.5881766132746429
1.5, 1.083572442975085e-6, 0.2434376565318908, -1.5878344088659364
1.6, 7.102098109855782e-7, 0.17326435148421523, -1.5873965436341688
1.7, 4.672386334486043e-7, 0.11781598349189583, -1.5868819778133132
1.8, 3.083995511415714e-7, 0.07886980260209109, -1.5863041961331839
1.9, 2.0414423225440854e-7, 0.05329798918352481, -1.5856723728969284
2.0, 1.354740561562981e-7, 0.03678393934159495, -1.5849922316147451
2.1, 9.010247030367562e-8, 0.02597054331201738, -1.5842666798946403
2.2, 6.004279144513275e-8, 0.01871247643098043, -1.5834962762823563
2.3, 4.00797389867042e-8, 0.01371719261289628, -1.5826795693257008
2.4, 2.6793991147592945e-8, 0.010203485759265916, -1.5818133377429786
2.5, 1.793569219159511e-8, 0.0076862471705579204, -1.580892752546687
2.6, 1.201977990501612e-8, 0.005854594656010699, -1.5799114762242918
2.7, 8.063258465693806e-9, 0.004503622103440596, -1.5788617098926787
2.8, 5.4138474028749215e-9, 0.0034951132487666026, -1.5777341962349942
2.9, 3.6377696917448014e-9, 0.0027340474519049187, -1.576518183674882
3.0, 2.446000140111261e-9, 0.002154038725610032, -1.5752013554116238
3.1, 1.6456345121978847e-9, 0.0017080443343095199, -1.573769725473728
3.2, 1.1077303535685822e-9, 0.0013622980155756522, -1.572207502731693
3.3, 7.4598592852164e-10, 0.0010922747093123314, -1.5704969227585022
3.4, 5.025725871772815e-10, 0.0008799644185501631, -1.5686180464731305
3.5, 3.3870163376565056e-10, 0.0007120050787137161, -1.5665485236001624
3.6, 2.2833241385118575e-10, 0.0005783876752735813, -1.564263318081131
3.7, 1.5396904735985987e-10, 0.0004715476784996443, -1.5617343916544664
3.8, 1.0384861424234863e-10, 0.0003857204564766973, -1.558930340848581
3.9, 7.005789045006043e-11, 0.0003164791285838753, -1.555815981593895
4.0, 4.727066058701158e-11, 0.00026039987555502694, -1.5523518745502027
4.1, 3.190032510603287e-11, 0.0002148172201502373, -1.548493783085165
4.2, 2.1530747742849352e-11, 0.000177643453685132, -1.5441920546828847
4.3, 1.4533708835587151e-11, 0.00014723423744888363, -1.5393909155240943
4.4, 9.811622142732965e-12, 0.0001222877509309445, -1.534027667277492
4.5, 6.624401461958221e-12, 0.00010176842891693127, -1.528031775145349
4.6, 4.4728989013561245e-12, 8.484887447312135e-5, -1.5213238375395486
4.7, 3.020395936809578e-12, 7.086531586342268e-5, -1.5138144314322612
4.8, 2.039704586284031e-12, 5.928323308080261e-5, -1.5054028350143582
4.9, 1.3775138931302524e-12, 4.967067553850627e-5, -1.4959756432277052
5.0, 9.30351667165336e-13, 4.167743608270971e-5, -1.4854053155854305
5.1, 6.283739643543677e-13, 3.5018712718992835e-5, -1.473548734450194
5.2, 4.244307625938819e-13, 2.9462229888150322e-5, -1.4602459120583933
