flowtime, sM3R1, sM3R2, sM3R3, sM3R4, sM3R5, sM3R6, sM3R7, sM3R8, sM3R9, sM3R10, sM3R11, sM3R12, sM3R13, sM3R14, sM3R15
0.0, 1.6539532540922783, 1.6587960647579503, 1.6477014153031477, 1.6566606942503326, 1.6502509103471492, 1.6509477986431516, 1.6594814615413929, 1.6543653516450947, 1.6520464210842079, 1.6491370711518603, 1.647748019068759, 1.659743493530603, 1.655993256058785, 1.6520015213338868, 1.6499598168011724
0.1, 1.642526785987124, 1.6287352413200091, 1.627189643903125, 1.6169374518263613, 1.631446073323138, 1.6253641839863238, 1.631628039918459, 1.6276088189201332, 1.6073870934697525, 1.6072277428611967, 1.6234281524049707, 1.6222391346545064, 1.6392208763407528, 1.6376785501769817, 1.6325829181164695
0.2, 1.631015615852641, 1.597391985579956, 1.6050063538660015, 1.5749596710949771, 1.611121545542085, 1.5973739847676915, 1.6019279633427497, 1.5977636718671082, 1.5609310370232952, 1.5637890696442303, 1.597312553736738, 1.5829662666677211, 1.6213367267013477, 1.622669817404491, 1.6138711349462396
0.3, 1.6191706697242443, 1.5639628803862513, 1.5803578819554582, 1.530152457176079, 1.5884445172354182, 1.56598471581669, 1.5694087407236825, 1.563851456889726, 1.5130445524224603, 1.5183488849549658, 1.5684672637176476, 1.5410356317346552, 1.6013292996001378, 1.6063141185322456, 1.5929080898711478
0.4, 1.606758135647337, 1.5280880507326324, 1.5526474615621109, 1.4827803087804583, 1.5627585180925065, 1.530886458429506, 1.5334312100443555, 1.5258447004407854, 1.4647465862106377, 1.471025482341761, 1.536297047720176, 1.4961583139488785, 1.578091108581865, 1.5879003675077028, 1.568911381786805
0.5, 1.5935592510108987, 1.4899135424893974, 1.5215466613308546, 1.4339483365296752, 1.5337382278615115, 1.4926688122423069, 1.4939509742606492, 1.484874102006953, 1.417000430620563, 1.4223927144319006, 1.5007830518255796, 1.4486475949067341, 1.5506401936265048, 1.566751791861536, 1.541545490481356
0.6, 1.5793730603753613, 1.4499953963097714, 1.4870131023447783, 1.38514908429335, 1.5014352321081081, 1.452511799028983, 1.451623055783772, 1.4427362342427574, 1.3702050456666381, 1.373213865695847, 1.4625426044264853, 1.3991979628699385, 1.518515737138432, 1.5424034777682745, 1.5111138069809287
0.7, 1.5640236180816192, 1.4090602067193874, 1.4492937209980898, 1.3376173331350527, 1.4662155862901711, 1.4116122576884993, 1.4075520213878374, 1.4010697511897254, 1.3242577152249626, 1.3241651207654594, 1.4225464928921778, 1.3486578343688247, 1.4820943720323299, 1.5148223643765473, 1.4783903743904947
0.8, 1.5473728287289146, 1.3677274761065503, 1.4088430714734907, 1.2919630335757208, 1.4287096738645306, 1.3708851013435703, 1.3628154721111587, 1.3608061441029993, 1.2789117248788544, 1.2756729511760352, 1.3816923762995454, 1.2980023097398812, 1.4424616714465326, 1.4845166522329292, 1.4442763846668782
0.9, 1.5293382880303668, 1.3263553018879901, 1.3661169020350872, 1.2482094889361857, 1.3897825797268342, 1.330973477914937, 1.3181374643708292, 1.322098902934822, 1.2340081644686964, 1.2279157297602832, 1.3405913972388444, 1.2482841107074345, 1.400865738452728, 1.45238857226797, 1.4095545933150535
