x, y, Adm
1, 1, 3.6326714455921994e-9
2, 1, 3.3519735969161977e-9
3, 1, 2.3972165435325993e-9
4, 1, 2.588097616272174e-9
5, 1, 3.1617119291929297e-9
6, 1, 3.833156665121537e-9
7, 1, 3.161711929192875e-9
8, 1, 2.588097616272169e-9
9, 1, 2.397216543532612e-9
10, 1, 3.351973596916196e-9

1, 2, 3.3519735969161882e-9
2, 2, 3.3811602503329497e-9
3, 2, 2.0056595139741495e-9
4, 2, 2.581281174962562e-9
5, 2, 2.86072177686414e-9
6, 2, 3.954473811286511e-9
7, 2, 2.860721776864227e-9
8, 2, 2.581281174962568e-9
9, 2, 2.0056595139741057e-9
10, 2, 3.3811602503329328e-9

1, 3, 2.3972165435326026e-9
2, 3, 2.00565951397414e-9
3, 3, 1.1592116052939326e-9
4, 3, 1.234404212706584e-9
5, 3, 1.9207558931514986e-9
6, 3, 2.4735998773412187e-9
7, 3, 1.920755893151428e-9
8, 3, 1.2344042127065945e-9
9, 3, 1.1592116052939403e-9
10, 3, 2.005659513974145e-9

1, 4, 2.588097616272154e-9
2, 4, 2.581281174962571e-9
3, 4, 1.2344042127066025e-9
4, 4, 1.8396875426749723e-9
5, 4, 2.1227833635787254e-9
6, 4, 3.4136065546689303e-9
7, 4, 2.122783363579101e-9
8, 4, 1.8396875426749924e-9
9, 4, 1.2344042127065037e-9
10, 4, 2.581281174962575e-9

1, 5, 3.161711929192897e-9
2, 5, 2.8607217768641894e-9
3, 5, 1.9207558931514667e-9
4, 5, 2.1227833635789244e-9
5, 5, 2.7062387850709967e-9
6, 5, 3.4195924125472274e-9
7, 5, 2.7062387850711762e-9
8, 5, 2.1227833635789306e-9
9, 5, 1.9207558931514353e-9
10, 5, 2.860721776864201e-9

1, 6, 3.833156665121497e-9
2, 6, 3.954473811286543e-9
3, 6, 2.4735998773412725e-9
4, 6, 3.4136065546691743e-9
5, 6, 3.4195924125461463e-9
6, 6, 2.984679070701117e-9
7, 6, 3.4195924125483006e-9
8, 6, 3.413606554668902e-9
9, 6, 2.473599877340916e-9
10, 6, 3.954473811286594e-9

1, 7, 3.1617119291928843e-9
2, 7, 2.8607217768642254e-9
3, 7, 1.9207558931514543e-9
4, 7, 2.1227833635790398e-9
5, 7, 2.7062387850710455e-9
6, 7, 3.4195924125477857e-9
7, 7, 2.706238785071224e-9
8, 7, 2.122783363579025e-9
9, 7, 1.9207558931514196e-9
10, 7, 2.8607217768642175e-9

1, 8, 2.588097616272156e-9
2, 8, 2.581281174962585e-9
3, 8, 1.234404212706591e-9
4, 8, 1.8396875426749731e-9
5, 8, 2.1227833635787134e-9
6, 8, 3.413606554668807e-9
7, 8, 2.122783363579109e-9
8, 8, 1.839687542674993e-9
9, 8, 1.2344042127065148e-9
10, 8, 2.5812811749625676e-9

1, 9, 2.397216543532606e-9
2, 9, 2.005659513974139e-9
3, 9, 1.1592116052939347e-9
4, 9, 1.2344042127065698e-9
5, 9, 1.9207558931514866e-9
6, 9, 2.4735998773411203e-9
7, 9, 1.9207558931514204e-9
8, 9, 1.2344042127065566e-9
9, 9, 1.1592116052939417e-9
10, 9, 2.0056595139741243e-9

1, 10, 3.3519735969161882e-9
2, 10, 3.3811602503329448e-9
3, 10, 2.0056595139741367e-9
4, 10, 2.5812811749625498e-9
5, 10, 2.8607217768641336e-9
6, 10, 3.9544738112865245e-9
7, 10, 2.860721776864237e-9
8, 10, 2.581281174962577e-9
9, 10, 2.005659513974116e-9
10, 10, 3.38116025033293e-9

