flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM1R15, dM1R16, dM1R17, dM1R18, dM1R19, dM(mass_num)R20
0.0, 1.0 + 0.0im, 1.0 + 6.938893903907228e-18im, 1.0 + 3.469446951953614e-18im, 0.9999999999999999 - 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 - 3.469446951953614e-18im, 1.0 + 0.0im, 1.0 + 8.673617379884035e-19im, 1.0 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 - 6.938893903907228e-18im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 + 0.0im, 0.9999999999999999 + 0.0im, 0.9999999999999997 + 0.0im, 1.0000000000000002 + 1.734723475976807e-18im, 0.9999999999999997 + 0.0im, 1.0 + 0.0im, 1.0000000000000002 - 2.710505431213761e-20im
0.1, 1.0000000000000018 - 3.469446951953614e-18im, 1.000000000000002 + 6.938893903907228e-18im, 0.9999999999999994 + 1.5612511283791264e-17im, 0.9999999999999977 - 6.505213034913027e-19im, 0.9999999999999983 - 6.938893903907228e-18im, 0.9999999999999994 - 1.734723475976807e-18im, 0.9999999999999987 - 4.336808689942018e-19im, 1.0000000000000009 + 3.469446951953614e-18im, 1.000000000000001 - 3.469446951953614e-18im, 0.9999999999999992 + 1.3010426069826053e-18im, 0.9999999999999997 - 1.734723475976807e-18im, 1.0000000000000016 + 2.6020852139652106e-18im, 0.9999999999999991 - 6.938893903907228e-18im, 0.9999999999999996 + 3.469446951953614e-18im, 1.0 - 8.673617379884035e-19im, 0.9999999999999996 + 8.673617379884035e-19im, 1.0000000000000018 + 0.0im, 0.9999999999999977 - 5.204170427930421e-18im, 0.9999999999999999 - 8.673617379884035e-19im, 1.0000000000000004 + 2.6020852139652106e-18im
0.2, 1.0000000000000004 - 6.938893903907228e-18im, 1.0000000000000016 - 1.734723475976807e-18im, 1.0000000000000007 + 1.9081958235744878e-17im, 0.9999999999999983 + 4.336808689942018e-19im, 0.9999999999999974 - 1.734723475976807e-17im, 0.9999999999999996 + 0.0im, 0.9999999999999979 - 9.75781955236954e-19im, 1.0000000000000013 + 6.938893903907228e-18im, 1.000000000000001 - 6.938893903907228e-18im, 0.9999999999999994 + 2.6020852139652106e-18im, 1.000000000000001 + 3.469446951953614e-18im, 1.0000000000000029 + 4.336808689942018e-18im, 0.9999999999999983 - 6.938893903907228e-18im, 0.9999999999999984 + 4.336808689942018e-18im, 0.9999999999999981 - 8.673617379884035e-19im, 0.9999999999999999 + 1.0842021724855044e-18im, 1.0000000000000013 + 1.0408340855860843e-17im, 0.9999999999999988 - 2.168404344971009e-18im, 1.0 - 8.673617379884035e-19im, 1.0000000000000002 + 5.204170427930421e-18im
0.3, 1.0000000000000002 + 3.469446951953614e-18im, 1.0000000000000027 + 0.0im, 1.0000000000000013 + 2.0816681711721685e-17im, 0.9999999999999989 - 4.336808689942018e-19im, 0.9999999999999987 + 3.469446951953614e-18im, 0.9999999999999999 + 6.938893903907228e-18im, 0.9999999999999972 - 1.0570971181733668e-18im, 1.0000000000000007 + 1.0408340855860843e-17im, 0.9999999999999999 - 1.734723475976807e-18im, 0.9999999999999993 + 3.0357660829594124e-18im, 1.000000000000001 + 1.734723475976807e-18im, 1.0000000000000007 + 6.071532165918825e-18im, 0.9999999999999989 - 2.0816681711721685e-17im, 0.9999999999999973 + 2.6020852139652106e-18im, 0.9999999999999983 - 2.6020852139652106e-18im, 0.9999999999999997 + 8.673617379884035e-19im, 1.0000000000000024 + 1.214306433183765e-17im, 0.9999999999999991 - 9.215718466126788e-19im, 0.9999999999999998 - 2.168404344971009e-18im, 0.9999999999999997 + 5.204170427930421e-18im
0.4, 1.0000000000000004 + 3.469446951953614e-18im, 1.0000000000000042 + 3.469446951953614e-18im, 1.0000000000000007 + 2.3418766925686896e-17im, 0.9999999999999988 + 0.0im, 0.9999999999999977 - 6.938893903907228e-18im, 0.9999999999999983 + 1.734723475976807e-18im, 0.9999999999999984 - 1.0299920638612292e-18im, 1.0000000000000013 + 8.673617379884035e-18im, 0.9999999999999977 - 3.469446951953614e-18im, 0.9999999999999996 + 2.3852447794681098e-18im, 1.0000000000000013 + 3.469446951953614e-18im, 1.0000000000000024 + 7.806255641895632e-18im, 0.9999999999999984 - 3.122502256758253e-17im, 0.9999999999999973 + 8.673617379884035e-19im, 0.9999999999999968 - 1.734723475976807e-18im, 0.9999999999999998 + 4.336808689942018e-19im, 1.0000000000000027 + 6.938893903907228e-18im, 0.9999999999999977 - 2.168404344971009e-18im, 1.000000000000001 - 2.8189256484623115e-18im, 0.9999999999999992 + 3.0357660829594124e-18im
0.5, 0.9999999999999996 - 3.469446951953614e-18im, 1.0000000000000056 + 5.204170427930421e-18im, 1.0000000000000007 + 2.3418766925686896e-17im, 0.9999999999999991 + 4.336808689942018e-19im, 0.9999999999999986 - 8.673617379884035e-18im, 0.9999999999999987 + 1.734723475976807e-18im, 0.9999999999999983 - 1.0299920638612292e-18im, 1.0000000000000013 + 1.1275702593849246e-17im, 0.9999999999999981 - 3.469446951953614e-18im, 0.9999999999999992 + 2.6020852139652106e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 1.000000000000002 + 6.938893903907228e-18im, 0.9999999999999981 - 2.949029909160572e-17im, 0.9999999999999991 - 2.6020852139652106e-18im, 0.9999999999999988 - 3.469446951953614e-18im, 0.9999999999999989 + 1.3010426069826053e-18im, 1.0000000000000022 + 3.469446951953614e-18im, 0.9999999999999981 - 2.6020852139652106e-18im, 1.0000000000000033 - 3.469446951953614e-18im, 1.0000000000000007 + 2.3852447794681098e-18im
0.6, 0.9999999999999994 - 1.0408340855860843e-17im, 1.000000000000006 - 5.204170427930421e-18im, 1.0000000000000033 + 2.168404344971009e-17im, 0.9999999999999998 - 4.336808689942018e-19im, 0.999999999999999 - 6.938893903907228e-18im, 0.9999999999999983 + 5.204170427930421e-18im, 0.9999999999999968 - 1.1926223897340549e-18im, 1.000000000000003 + 8.673617379884035e-18im, 0.9999999999999978 - 3.469446951953614e-18im, 0.9999999999999979 + 2.168404344971009e-18im, 1.0000000000000016 + 2.6020852139652106e-18im, 1.0000000000000022 + 1.214306433183765e-17im, 0.9999999999999989 - 2.949029909160572e-17im, 0.9999999999999976 - 4.336808689942018e-18im, 0.9999999999999977 - 3.469446951953614e-18im, 1.0000000000000004 + 8.673617379884035e-19im, 1.0000000000000036 + 3.469446951953614e-18im, 0.9999999999999993 - 3.469446951953614e-18im, 1.0000000000000029 - 3.469446951953614e-18im, 1.0 + 2.3852447794681098e-18im
0.7, 1.0000000000000002 - 3.469446951953614e-18im, 1.0000000000000053 - 6.938893903907228e-18im, 1.000000000000004 + 2.5153490401663703e-17im, 0.9999999999999993 - 4.336808689942018e-19im, 0.9999999999999992 + 1.734723475976807e-18im, 1.0000000000000009 + 1.734723475976807e-18im, 0.9999999999999971 - 1.4094628242311558e-18im, 1.0000000000000053 + 1.3010426069826053e-17im, 0.9999999999999982 - 1.734723475976807e-18im, 1.0000000000000002 + 1.734723475976807e-18im, 1.0000000000000013 + 2.6020852139652106e-18im, 1.0000000000000027 + 1.0408340855860843e-17im, 0.9999999999999982 - 3.122502256758253e-17im, 0.9999999999999979 - 3.469446951953614e-18im, 0.9999999999999968 - 2.3852447794681098e-18im, 1.0 + 0.0im, 1.000000000000003 + 5.204170427930421e-18im, 1.0000000000000002 - 1.734723475976807e-18im, 1.0000000000000027 - 1.734723475976807e-18im, 0.9999999999999986 + 2.6020852139652106e-18im
0.8, 0.9999999999999992 + 3.469446951953614e-18im, 1.0000000000000064 - 8.673617379884035e-18im, 1.0000000000000042 + 2.0816681711721685e-17im, 0.9999999999999994 - 1.734723475976807e-18im, 0.9999999999999986 + 5.204170427930421e-18im, 1.0000000000000027 + 1.734723475976807e-18im, 0.9999999999999967 - 1.3552527156068805e-18im, 1.0000000000000056 + 1.3010426069826053e-17im, 0.9999999999999958 - 3.469446951953614e-18im, 0.9999999999999979 + 2.168404344971009e-18im, 1.0000000000000022 + 3.469446951953614e-18im, 1.0000000000000024 + 1.3877787807814457e-17im, 0.9999999999999974 - 2.949029909160572e-17im, 0.9999999999999964 - 4.336808689942018e-18im, 0.9999999999999976 - 2.2768245622195593e-18im, 0.9999999999999994 - 1.734723475976807e-18im, 1.0000000000000024 + 9.540979117872439e-18im, 1.0000000000000024 - 1.734723475976807e-18im, 1.0000000000000016 - 1.214306433183765e-17im, 0.9999999999999984 + 2.4936649967166602e-18im
0.9, 1.0000000000000002 - 3.469446951953614e-18im, 1.0000000000000067 - 1.734723475976807e-18im, 1.0000000000000056 + 2.168404344971009e-17im, 1.0000000000000002 - 8.673617379884035e-19im, 0.9999999999999997 - 1.734723475976807e-18im, 1.0000000000000022 - 1.734723475976807e-18im, 0.9999999999999962 - 1.4094628242311558e-18im, 1.000000000000006 + 1.3010426069826053e-17im, 0.9999999999999943 - 6.938893903907228e-18im, 0.9999999999999978 + 1.734723475976807e-18im, 1.0000000000000013 + 5.204170427930421e-18im, 1.000000000000002 + 1.214306433183765e-17im, 0.999999999999998 - 3.469446951953614e-17im, 0.9999999999999967 - 5.204170427930421e-18im, 0.999999999999999 - 2.290377089375628e-18im, 1.000000000000001 + 0.0im, 1.000000000000003 + 9.540979117872439e-18im, 1.000000000000003 - 2.6020852139652106e-18im, 1.0000000000000027 - 1.734723475976807e-17im, 0.9999999999999981 + 2.710505431213761e-18im
1.0, 1.000000000000002 - 6.938893903907228e-18im, 1.0000000000000064 + 5.204170427930421e-18im, 1.0000000000000062 + 1.9949319973733282e-17im, 1.0000000000000007 + 2.168404344971009e-19im, 0.9999999999999972 + 6.938893903907228e-18im, 1.0000000000000027 + 2.6020852139652106e-18im, 0.9999999999999962 - 1.3552527156068805e-18im, 1.0000000000000078 + 1.3877787807814457e-17im, 0.9999999999999954 - 6.938893903907228e-18im, 0.9999999999999973 + 2.6020852139652106e-18im, 1.0000000000000002 + 6.938893903907228e-18im, 1.000000000000003 + 1.214306433183765e-17im, 0.9999999999999987 - 4.163336342344337e-17im, 0.9999999999999991 - 4.336808689942018e-18im, 0.9999999999999979 - 2.4936649967166602e-18im, 1.0 + 8.673617379884035e-19im, 1.0000000000000024 + 8.673617379884035e-18im, 1.0000000000000038 + 1.734723475976807e-18im, 1.000000000000003 - 1.734723475976807e-17im, 0.9999999999999989 + 3.0899761915836876e-18im
1.1, 1.000000000000001 - 6.938893903907228e-18im, 1.0000000000000058 + 1.0408340855860843e-17im, 1.0000000000000067 + 2.168404344971009e-17im, 0.9999999999999993 - 2.168404344971009e-19im, 0.9999999999999967 + 9.540979117872439e-18im, 1.0000000000000033 + 2.6020852139652106e-18im, 0.9999999999999941 - 1.4094628242311558e-18im, 1.0000000000000093 + 1.431146867680866e-17im, 0.9999999999999978 - 6.938893903907228e-18im, 0.9999999999999958 + 1.3010426069826053e-18im, 1.000000000000002 + 6.071532165918825e-18im, 1.0000000000000033 + 1.214306433183765e-17im, 0.999999999999999 - 3.9898639947466563e-17im, 0.9999999999999989 - 5.204170427930421e-18im, 0.9999999999999997 - 3.2526065174565133e-18im, 1.0000000000000018 + 3.469446951953614e-18im, 1.000000000000003 + 1.0408340855860843e-17im, 1.0000000000000027 + 5.204170427930421e-18im, 1.0000000000000053 - 1.734723475976807e-17im, 0.9999999999999978 + 3.144186300207963e-18im
