flowtime, d1, d2, d3
0.0, 0.9999999999999999 + 0.0im, 1.0 - 4.336808689942018e-19im, 1.0000000000000002 + 0.0im
0.1, 1.000000000000001 + 6.505213034913027e-19im, 0.9999999999999973 + 0.0im, 1.0000000000000009 - 8.673617379884035e-19im
0.2, 0.9999999999999996 + 6.505213034913027e-19im, 0.9999999999999972 - 1.734723475976807e-18im, 1.0000000000000007 - 1.734723475976807e-18im
0.3, 0.9999999999999983 + 0.0im, 0.9999999999999958 - 1.734723475976807e-18im, 1.0000000000000022 - 1.734723475976807e-18im
0.4, 0.9999999999999976 + 0.0im, 0.9999999999999954 - 2.6020852139652106e-18im, 1.0000000000000007 - 3.0357660829594124e-18im
0.5, 0.9999999999999977 + 6.505213034913027e-19im, 0.9999999999999939 - 1.734723475976807e-18im, 1.0000000000000002 - 2.6020852139652106e-18im
0.6, 0.9999999999999982 + 4.336808689942018e-19im, 0.9999999999999959 - 2.6020852139652106e-18im, 1.0000000000000022 - 8.673617379884035e-19im
0.7, 1.0 + 0.0im, 0.999999999999997 - 4.336808689942018e-18im, 1.0000000000000029 - 2.168404344971009e-18im
0.8, 0.9999999999999999 + 0.0im, 0.9999999999999993 - 8.673617379884035e-18im, 1.0000000000000024 - 2.168404344971009e-18im
0.9, 1.0000000000000018 - 2.168404344971009e-19im, 0.9999999999999994 - 8.673617379884035e-18im, 1.0000000000000027 - 2.168404344971009e-18im
1.0, 1.0000000000000009 + 6.505213034913027e-19im, 0.9999999999999989 - 6.938893903907228e-18im, 1.000000000000003 - 2.3852447794681098e-18im
1.1, 0.9999999999999996 + 8.673617379884035e-19im, 0.9999999999999992 - 4.336808689942018e-18im, 1.0000000000000018 - 1.5178830414797062e-18im
1.2, 0.9999999999999982 + 4.336808689942018e-19im, 0.9999999999999977 - 4.336808689942018e-18im, 1.0000000000000027 - 2.3852447794681098e-18im
1.3, 0.9999999999999978 - 4.336808689942018e-19im, 0.9999999999999958 - 1.734723475976807e-18im, 1.0000000000000047 - 1.734723475976807e-18im
1.4, 0.9999999999999959 - 1.0842021724855044e-18im, 0.9999999999999964 - 2.6020852139652106e-18im, 1.0000000000000049 - 2.168404344971009e-18im
1.5, 0.9999999999999953 - 1.0842021724855044e-18im, 0.9999999999999954 - 1.734723475976807e-18im, 1.0000000000000022 - 1.951563910473908e-18im
1.6, 0.9999999999999956 - 1.5178830414797062e-18im, 0.9999999999999967 - 4.336808689942018e-18im, 1.0000000000000033 - 2.168404344971009e-18im
1.7, 0.9999999999999986 - 1.734723475976807e-18im, 0.9999999999999967 - 4.336808689942018e-18im, 1.0000000000000029 - 2.3852447794681098e-18im
1.8, 0.9999999999999983 - 2.168404344971009e-18im, 0.9999999999999948 - 6.938893903907228e-18im, 1.0000000000000027 - 2.168404344971009e-18im
1.9, 1.0000000000000009 - 1.3010426069826053e-18im, 0.9999999999999944 - 6.938893903907228e-18im, 1.0000000000000027 - 2.3852447794681098e-18im
2.0, 1.0000000000000027 - 8.673617379884035e-19im, 0.9999999999999941 - 2.6020852139652106e-18im, 1.0000000000000016 - 3.0357660829594124e-18im
2.1, 1.0000000000000027 + 2.168404344971009e-19im, 0.9999999999999943 + 8.673617379884035e-19im, 1.0000000000000013 - 2.927345865710862e-18im
2.2, 1.0000000000000024 + 6.505213034913027e-19im, 0.9999999999999946 + 2.6020852139652106e-18im, 1.0000000000000002 - 2.710505431213761e-18im
2.3, 1.0000000000000024 + 1.0842021724855044e-18im, 0.9999999999999946 + 2.6020852139652106e-18im, 0.9999999999999978 - 3.2526065174565133e-18im
2.4, 1.0000000000000033 + 4.336808689942018e-19im, 0.9999999999999943 + 8.673617379884035e-19im, 0.9999999999999932 - 3.0357660829594124e-18im
2.5, 1.0000000000000042 - 2.168404344971009e-19im, 0.9999999999999958 + 3.469446951953614e-18im, 0.9999999999999915 - 3.577867169202165e-18im
2.6, 1.0000000000000064 - 8.673617379884035e-19im, 0.9999999999999942 + 1.734723475976807e-18im, 0.9999999999999896 - 3.903127820947816e-18im
2.7, 1.0000000000000067 - 1.734723475976807e-18im, 0.9999999999999954 + 3.469446951953614e-18im, 0.9999999999999872 - 4.228388472693467e-18im
