flowtime, d1, d2, d3
0.0, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
0.1, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
0.2, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im
0.3, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 1.0000000000000007 - 2.117582368135751e-22im
0.4, 1.000000000000003 + 5.551115123125783e-17im, 1.0 - 1.6653345369377348e-16im, 1.0000000000000004 + 4.163336342344337e-17im
0.5, 1.0000000000000044 + 7.216449660063518e-16im, 1.0000000000000002 + 3.885780586188048e-16im, 0.9999999999999997 + 0.0im
0.6, 1.0000000000000064 + 2.42861286636753e-16im, 1.0000000000000016 + 5.551115123125783e-16im, 0.9999999999999991 + 1.6653345369377348e-16im
0.7, 1.000000000000007 + 2.7755575615628914e-17im, 1.0000000000000013 + 5.620504062164855e-16im, 0.9999999999999994 - 7.632783294297951e-17im
0.8, 1.000000000000006 - 6.938893903907228e-17im, 0.9999999999999999 + 3.0531133177191805e-16im, 0.9999999999999989 - 5.551115123125783e-17im
0.9, 1.000000000000007 - 1.1102230246251565e-16im, 1.0000000000000016 + 2.7755575615628914e-16im, 0.9999999999999987 - 4.996003610813204e-16im
1.0, 1.0000000000000056 + 3.3306690738754696e-16im, 1.0000000000000029 + 5.551115123125783e-17im, 0.9999999999999971 + 2.7755575615628914e-16im
1.1, 1.000000000000006 + 0.0im, 1.0000000000000044 - 5.551115123125783e-17im, 0.9999999999999966 + 1.6653345369377348e-16im
1.2, 1.0000000000000062 - 3.3306690738754696e-16im, 1.0000000000000049 + 4.440892098500626e-16im, 0.9999999999999958 - 1.6653345369377348e-16im
1.3, 1.0000000000000042 - 4.440892098500626e-16im, 1.0000000000000042 + 5.551115123125783e-17im, 0.9999999999999972 + 5.551115123125783e-16im
1.4, 1.0000000000000053 - 3.885780586188048e-16im, 1.0000000000000038 + 1.1657341758564144e-15im, 0.9999999999999972 + 5.551115123125783e-16im
1.5, 1.0000000000000058 - 5.551115123125783e-16im, 1.0000000000000036 + 1.0547118733938987e-15im, 0.9999999999999969 + 1.1657341758564144e-15im
1.6, 1.0000000000000058 - 6.106226635438361e-16im, 1.0000000000000044 + 2.220446049250313e-16im, 0.9999999999999971 + 1.2212453270876722e-15im
1.7, 1.0000000000000047 - 2.220446049250313e-16im, 1.0000000000000047 + 6.106226635438361e-16im, 0.9999999999999963 + 9.43689570931383e-16im
1.8, 1.0000000000000049 - 6.661338147750939e-16im, 1.0000000000000064 + 3.3306690738754696e-16im, 0.9999999999999967 + 8.326672684688674e-16im
1.9, 1.0000000000000049 - 4.440892098500626e-16im, 1.000000000000005 + 5.551115123125783e-16im, 0.9999999999999976 + 4.996003610813204e-16im
2.0, 1.0000000000000067 - 5.551115123125783e-17im, 1.0000000000000058 - 1.6653345369377348e-16im, 0.9999999999999961 + 1.1102230246251565e-16im
2.1, 1.0000000000000049 - 3.885780586188048e-16im, 1.000000000000008 - 2.7755575615628914e-16im, 0.9999999999999978 - 2.7755575615628914e-16im
2.2, 1.0000000000000049 - 1.6653345369377348e-16im, 1.0000000000000095 - 8.326672684688674e-16im, 0.9999999999999986 + 6.106226635438361e-16im
2.3, 1.0000000000000042 + 5.551115123125783e-17im, 1.0000000000000107 - 7.216449660063518e-16im, 0.9999999999999994 + 3.885780586188048e-16im
2.4, 1.0000000000000056 - 2.7755575615628914e-16im, 1.000000000000011 - 1.1102230246251565e-15im, 0.9999999999999996 + 2.220446049250313e-16im
2.5, 1.000000000000005 - 4.440892098500626e-16im, 1.0000000000000107 - 1.6653345369377348e-15im, 0.9999999999999982 + 4.440892098500626e-16im
2.6, 1.0000000000000075 - 4.996003610813204e-16im, 1.0000000000000093 - 2.0261570199409107e-15im, 0.9999999999999987 + 8.326672684688674e-16im
2.7, 1.0000000000000082 - 5.43835809718729e-16im, 1.0000000000000078 - 1.8596235662471372e-15im, 0.9999999999999976 + 3.3306690738754696e-16im
2.8, 1.0000000000000087 - 4.440892098500626e-16im, 1.000000000000009 - 2.192690473634684e-15im, 0.9999999999999962 + 3.885780586188048e-16im
2.9, 1.0000000000000078 - 6.661338147750939e-16im, 1.0000000000000084 - 2.5483087862099296e-15im, 0.9999999999999967 - 3.3306690738754696e-16im
3.0, 1.0000000000000067 - 5.551115123125783e-16im, 1.0000000000000087 - 2.886579864025407e-15im, 0.9999999999999973 - 6.106226635438361e-16im
3.1, 1.000000000000007 - 6.938893903907228e-16im, 1.0000000000000084 - 3.3861802251067274e-15im, 0.999999999999997 - 8.881784197001252e-16im
3.2, 1.0000000000000087 - 7.771561172376096e-16im, 1.0000000000000084 - 3.497202527569243e-15im, 0.9999999999999969 - 1.1657341758564144e-15im
3.3, 1.0000000000000098 - 7.771561172376096e-16im, 1.0000000000000095 - 3.608224830031759e-15im, 0.999999999999998 - 1.0547118733938987e-15im
3.4, 1.0000000000000107 - 6.106226635438361e-16im, 1.0000000000000089 - 3.608224830031759e-15im, 0.9999999999999992 - 1.27675647831893e-15im
3.5, 1.0000000000000107 - 4.996003610813204e-16im, 1.0000000000000093 - 3.219646771412954e-15im, 0.9999999999999987 - 1.2212453270876722e-15im
3.6, 1.000000000000012 - 8.326672684688674e-16im, 1.0000000000000098 - 3.885780586188048e-15im, 1.0 - 1.5543122344752192e-15im
3.7, 1.0000000000000115 - 1.0269562977782698e-15im, 1.000000000000009 - 3.9968028886505635e-15im, 0.9999999999999997 - 1.3600232051658168e-15im
3.8, 1.0000000000000124 - 1.27675647831893e-15im, 1.0000000000000067 - 4.191091917959966e-15im, 0.9999999999999979 - 9.992007221626409e-16im
3.9, 1.0000000000000122 - 1.2212453270876722e-15im, 1.000000000000007 - 4.274358644806853e-15im, 0.9999999999999993 - 1.0547118733938987e-15im
4.0, 1.00000000000001 - 1.4988010832439613e-15im, 1.0000000000000078 - 4.385380947269368e-15im, 0.9999999999999994 - 1.1102230246251565e-15im
4.1, 1.000000000000008 - 1.1102230246251565e-15im, 1.0000000000000058 - 4.718447854656915e-15im, 1.0000000000000004 - 1.1657341758564144e-15im
4.2, 1.0000000000000056 - 1.0547118733938987e-15im, 1.0000000000000053 - 4.829470157119431e-15im, 1.0000000000000002 - 1.4432899320127035e-15im
4.3, 1.0000000000000058 - 8.881784197001252e-16im, 1.0000000000000067 - 5.3013149425851225e-15im, 0.9999999999999991 - 2.3314683517128287e-15im
4.4, 1.0000000000000067 - 8.326672684688674e-16im, 1.0000000000000073 - 5.051514762044462e-15im, 0.9999999999999991 - 2.220446049250313e-15im
4.5, 1.000000000000005 - 3.885780586188048e-16im, 1.0000000000000075 - 4.773959005888173e-15im, 0.9999999999999978 - 2.4980018054066022e-15im
4.6, 1.0000000000000058 - 1.6653345369377348e-16im, 1.000000000000008 - 4.884981308350689e-15im, 0.9999999999999973 - 2.831068712794149e-15im
4.7, 1.0000000000000053 - 4.440892098500626e-16im, 1.000000000000008 - 5.245803791353865e-15im, 0.999999999999998 - 3.1086244689504383e-15im
4.8, 1.0000000000000056 - 4.440892098500626e-16im, 1.0000000000000087 - 4.9960036108132044e-15im, 0.9999999999999982 - 3.497202527569243e-15im
