flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM(mass_num)R15
0.0, 0.9999999999999997 + 3.469446951953614e-18im, 1.0000000000000002 + 0.0im, 1.0 + 1.734723475976807e-18im, 0.9999999999999997 - 3.469446951953614e-18im, 1.0 + 0.0im, 0.9999999999999997 + 2.168404344971009e-19im, 0.9999999999999999 + 0.0im, 0.9999999999999998 - 2.168404344971009e-19im, 1.0 + 3.469446951953614e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999999 + 0.0im, 1.0 - 1.734723475976807e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999999 - 3.469446951953614e-18im, 1.0000000000000002 + 0.0im
0.1, 0.9999999999999994 + 1.734723475976807e-18im, 1.0000000000000027 + 3.469446951953614e-18im, 0.9999999999999988 - 8.673617379884035e-19im, 0.9999999999999979 - 2.168404344971009e-18im, 1.000000000000001 - 8.023096076392733e-18im, 1.0000000000000002 + 5.963111948670274e-19im, 1.0 + 1.734723475976807e-18im, 0.9999999999999998 + 1.0842021724855044e-19im, 0.9999999999999984 + 2.168404344971009e-18im, 1.0000000000000013 + 2.8189256484623115e-18im, 1.0000000000000002 + 0.0im, 1.0000000000000016 - 8.673617379884035e-19im, 1.0000000000000002 - 3.469446951953614e-18im, 1.0000000000000027 + 7.806255641895632e-18im, 1.0000000000000007 - 1.734723475976807e-17im
0.2, 1.000000000000001 + 3.469446951953614e-18im, 1.0000000000000022 + 4.7704895589362195e-18im, 0.9999999999999979 - 4.336808689942018e-19im, 0.9999999999999978 - 2.6020852139652106e-18im, 1.0000000000000007 - 8.673617379884035e-18im, 0.9999999999999993 + 6.505213034913027e-19im, 0.999999999999999 + 2.6020852139652106e-18im, 0.999999999999999 + 1.0842021724855044e-19im, 0.9999999999999986 - 8.673617379884035e-19im, 1.0000000000000013 + 3.2526065174565133e-18im, 0.9999999999999991 - 8.673617379884035e-19im, 1.0000000000000024 - 2.168404344971009e-18im, 1.0000000000000009 - 1.0408340855860843e-17im, 1.0000000000000007 + 7.806255641895632e-18im, 1.0000000000000022 - 1.3877787807814457e-17im
0.3, 1.0000000000000009 + 8.673617379884035e-18im, 1.0000000000000016 + 6.071532165918825e-18im, 0.9999999999999998 - 8.673617379884035e-19im, 0.9999999999999986 - 3.469446951953614e-18im, 1.0000000000000007 - 8.890457814381136e-18im, 0.999999999999997 + 9.75781955236954e-19im, 0.9999999999999984 + 3.469446951953614e-18im, 0.999999999999998 + 1.0842021724855044e-19im, 0.9999999999999989 - 3.469446951953614e-18im, 1.000000000000001 + 1.3010426069826053e-18im, 0.9999999999999994 - 1.3010426069826053e-18im, 1.0000000000000027 - 1.3552527156068805e-18im, 1.0000000000000022 - 1.0408340855860843e-17im, 1.0000000000000016 + 5.204170427930421e-18im, 1.0000000000000016 - 1.3877787807814457e-17im
0.4, 1.000000000000001 + 6.938893903907228e-18im, 1.0000000000000016 + 5.854691731421724e-18im, 0.9999999999999986 + 0.0im, 0.9999999999999949 - 1.734723475976807e-18im, 0.9999999999999983 - 8.456776945386935e-18im, 0.9999999999999978 + 8.673617379884035e-19im, 0.9999999999999998 + 6.071532165918825e-18im, 0.9999999999999974 + 1.0842021724855044e-19im, 0.9999999999999989 - 1.734723475976807e-18im, 1.0000000000000018 + 2.6020852139652106e-18im, 0.9999999999999996 - 8.673617379884035e-19im, 1.0000000000000042 - 1.2874900798265365e-18im, 1.0000000000000009 - 1.3877787807814457e-17im, 0.9999999999999997 + 3.469446951953614e-18im, 1.0000000000000013 - 1.5612511283791264e-17im
0.5, 1.0000000000000007 + 1.0408340855860843e-17im, 1.000000000000001 + 5.854691731421724e-18im, 0.9999999999999974 - 2.168404344971009e-19im, 0.9999999999999943 - 1.734723475976807e-18im, 0.9999999999999961 - 8.456776945386935e-18im, 0.9999999999999984 + 8.673617379884035e-19im, 0.9999999999999988 + 5.637851296924623e-18im, 0.9999999999999949 + 1.6263032587282567e-19im, 0.999999999999998 - 1.734723475976807e-18im, 1.000000000000001 + 3.469446951953614e-18im, 1.0 + 0.0im, 1.0000000000000042 - 1.0299920638612292e-18im, 0.9999999999999999 - 6.938893903907228e-18im, 0.9999999999999976 + 3.469446951953614e-18im, 1.0000000000000029 - 1.3877787807814457e-17im
0.6, 1.0000000000000009 + 8.673617379884035e-18im, 1.0 + 5.7462715141731735e-18im, 0.9999999999999958 + 4.336808689942018e-19im, 0.9999999999999925 - 6.938893903907228e-18im, 0.9999999999999982 - 8.673617379884035e-18im, 0.9999999999999977 + 7.589415207398531e-19im, 0.9999999999999999 + 3.469446951953614e-18im, 0.9999999999999947 + 1.3552527156068805e-19im, 1.0000000000000004 - 1.734723475976807e-18im, 1.0000000000000016 + 3.0357660829594124e-18im, 1.0000000000000018 - 4.336808689942018e-19im, 1.000000000000005 - 8.673617379884035e-19im, 1.0000000000000004 - 1.3877787807814457e-17im, 0.9999999999999983 + 0.0im, 1.0000000000000024 - 1.734723475976807e-17im
0.7, 1.0000000000000009 + 8.673617379884035e-18im, 1.0000000000000013 + 5.9631119486702744e-18im, 0.999999999999995 + 2.168404344971009e-19im, 0.9999999999999928 - 5.204170427930421e-18im, 0.9999999999999978 - 7.806255641895632e-18im, 0.9999999999999991 + 1.0842021724855044e-18im, 1.0000000000000009 + 3.903127820947816e-18im, 0.999999999999995 + 1.6263032587282567e-19im, 1.0000000000000009 + 6.938893903907228e-18im, 1.0 + 2.168404344971009e-18im, 1.0000000000000016 - 8.673617379884035e-19im, 1.0000000000000056 - 5.421010862427522e-19im, 0.9999999999999999 - 1.3877787807814457e-17im, 0.9999999999999991 - 1.734723475976807e-18im, 1.0000000000000029 - 1.9081958235744878e-17im
0.8, 1.0000000000000004 + 9.540979117872439e-18im, 1.0000000000000013 + 5.9631119486702744e-18im, 0.9999999999999943 + 0.0im, 0.9999999999999934 + 3.469446951953614e-18im, 0.9999999999999979 - 7.806255641895632e-18im, 1.0000000000000002 + 1.0842021724855044e-18im, 0.9999999999999987 + 4.7704895589362195e-18im, 0.9999999999999937 + 1.6263032587282567e-19im, 1.000000000000001 + 6.938893903907228e-18im, 0.9999999999999982 + 3.469446951953614e-18im, 0.9999999999999996 - 2.168404344971009e-18im, 1.0000000000000047 - 1.0842021724855044e-18im, 0.9999999999999982 - 1.9081958235744878e-17im, 0.9999999999999979 - 3.469446951953614e-18im, 1.0000000000000033 - 2.2551405187698492e-17im
0.9, 1.0000000000000007 + 7.806255641895632e-18im, 0.9999999999999987 + 5.800481622797449e-18im, 0.9999999999999951 - 1.3010426069826053e-18im, 0.999999999999991 + 0.0im, 1.0 - 8.023096076392733e-18im, 0.9999999999999999 + 1.4094628242311558e-18im, 0.9999999999999987 + 3.469446951953614e-18im, 0.9999999999999933 + 1.2197274440461925e-19im, 1.0000000000000004 + 1.214306433183765e-17im, 0.9999999999999981 + 4.336808689942018e-18im, 1.0000000000000002 - 3.0357660829594124e-18im, 1.0000000000000013 - 2.168404344971009e-19im, 0.9999999999999971 - 2.0816681711721685e-17im, 0.9999999999999983 - 3.469446951953614e-18im, 1.0000000000000038 - 2.0816681711721685e-17im
