flowtime, dM1R1, dM1R2, dM1R3, dM1R4, dM1R5, dM1R6, dM1R7, dM1R8, dM1R9, dM1R10, dM1R11, dM1R12, dM1R13, dM1R14, dM1R15, dM1R16, dM1R17, dM1R18, dM1R19, dM(mass_num)R20
0.0, 0.9999999999999997 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999997 + 3.469446951953614e-18im, 1.0 + 6.938893903907228e-18im, 1.0 + 0.0im, 1.0 + 0.0im, 1.0 + 0.0im, 0.9999999999999998 + 4.336808689942018e-19im, 1.0 + 0.0im, 0.9999999999999999 + 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999998 + 1.734723475976807e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999998 + 0.0im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 1.0 + 3.469446951953614e-18im, 1.0 + 0.0im
0.1, 1.0000000000000004 + 1.0408340855860843e-17im, 0.9999999999999991 - 1.3877787807814457e-17im, 0.9999999999999973 - 1.6263032587282567e-19im, 0.9999999999999997 + 0.0im, 0.999999999999997 + 5.204170427930421e-18im, 1.0 + 6.938893903907228e-18im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000004 - 1.3877787807814457e-17im, 1.0000000000000013 + 1.0408340855860843e-17im, 1.0000000000000013 + 4.336808689942018e-19im, 0.9999999999999994 + 0.0im, 0.9999999999999983 + 1.734723475976807e-18im, 0.9999999999999998 - 6.938893903907228e-18im, 0.9999999999999983 + 1.734723475976807e-18im, 1.0000000000000002 + 6.938893903907228e-18im, 0.9999999999999999 + 0.0im, 1.0000000000000022 - 1.3010426069826053e-18im, 0.9999999999999986 - 3.469446951953614e-18im, 0.9999999999999993 + 5.204170427930421e-18im, 1.000000000000001 + 1.0408340855860843e-17im
0.2, 0.9999999999999989 + 1.3877787807814457e-17im, 1.0000000000000013 - 8.673617379884035e-18im, 0.9999999999999987 + 4.336808689942018e-19im, 0.9999999999999984 - 6.938893903907228e-18im, 0.9999999999999971 + 8.673617379884035e-18im, 1.000000000000002 + 3.469446951953614e-18im, 1.0 - 6.938893903907228e-18im, 1.0 - 3.469446951953614e-17im, 1.000000000000001 + 6.938893903907228e-18im, 1.0000000000000002 - 2.168404344971009e-19im, 1.0000000000000004 + 2.0816681711721685e-17im, 0.9999999999999978 + 1.3010426069826053e-18im, 0.9999999999999982 - 1.3877787807814457e-17im, 0.9999999999999961 + 1.0408340855860843e-17im, 0.9999999999999997 - 6.938893903907228e-18im, 1.0 + 2.7755575615628914e-17im, 1.000000000000002 - 1.3010426069826053e-18im, 1.0000000000000007 - 3.469446951953614e-18im, 0.9999999999999983 + 1.734723475976807e-18im, 1.0000000000000016 + 1.3877787807814457e-17im
0.3, 0.9999999999999986 + 2.42861286636753e-17im, 1.0000000000000013 - 1.0842021724855044e-17im, 0.9999999999999954 + 0.0im, 0.9999999999999969 - 3.469446951953614e-18im, 0.9999999999999959 + 6.938893903907228e-18im, 1.0000000000000024 - 3.469446951953614e-18im, 1.0000000000000002 - 6.938893903907228e-18im, 0.9999999999999997 - 3.122502256758253e-17im, 1.0 + 3.469446951953614e-18im, 1.0000000000000009 - 6.505213034913027e-19im, 1.000000000000002 + 4.5102810375396984e-17im, 0.9999999999999972 + 1.0842021724855044e-19im, 0.9999999999999984 - 6.938893903907228e-18im, 0.9999999999999974 + 1.0408340855860843e-17im, 0.9999999999999998 - 6.938893903907228e-18im, 1.0000000000000002 + 2.0816681711721685e-17im, 1.0000000000000033 - 1.0842021724855044e-18im, 0.999999999999999 - 6.938893903907228e-18im, 0.9999999999999997 + 3.469446951953614e-18im, 1.0000000000000004 + 3.469446951953614e-17im
0.4, 0.9999999999999984 + 2.0816681711721685e-17im, 1.0000000000000027 - 1.0733601507606494e-17im, 0.9999999999999933 + 4.336808689942018e-19im, 0.9999999999999981 - 3.469446951953614e-18im, 0.9999999999999951 + 9.107298248878237e-18im, 1.0000000000000009 - 3.469446951953614e-18im, 0.9999999999999997 - 6.071532165918825e-18im, 1.0000000000000002 - 3.469446951953614e-17im, 1.000000000000001 - 6.938893903907228e-18im, 1.000000000000001 + 4.336808689942018e-19im, 1.0000000000000016 + 5.724587470723463e-17im, 0.999999999999998 + 4.0657581468206416e-19im, 0.9999999999999969 - 5.204170427930421e-18im, 0.9999999999999969 + 1.474514954580286e-17im, 1.0000000000000007 - 6.938893903907228e-18im, 0.9999999999999989 + 2.6020852139652106e-17im, 1.0000000000000036 - 1.6263032587282567e-18im, 1.0000000000000009 - 7.806255641895632e-18im, 0.9999999999999992 + 2.6020852139652106e-18im, 0.9999999999999993 + 3.2959746043559335e-17im
0.5, 0.9999999999999994 + 1.9081958235744878e-17im, 1.000000000000001 - 9.974659986866641e-18im, 0.9999999999999927 + 0.0im, 0.9999999999999968 + 1.734723475976807e-18im, 0.9999999999999949 + 9.75781955236954e-18im, 1.0000000000000024 + 3.469446951953614e-18im, 1.0 - 5.204170427930421e-18im, 0.999999999999999 - 2.949029909160572e-17im, 1.0000000000000007 - 6.071532165918825e-18im, 1.0000000000000009 + 6.505213034913027e-19im, 1.0000000000000009 + 5.204170427930421e-17im, 0.9999999999999979 + 2.168404344971009e-19im, 0.9999999999999987 - 5.204170427930421e-18im, 0.999999999999998 + 1.6479873021779667e-17im, 1.0000000000000016 - 1.734723475976807e-18im, 0.9999999999999994 + 2.2551405187698492e-17im, 1.0000000000000027 - 2.168404344971009e-18im, 1.0000000000000024 - 9.540979117872439e-18im, 1.0000000000000009 + 4.336808689942018e-18im, 0.9999999999999979 + 2.949029909160572e-17im
0.6, 0.9999999999999983 + 1.3877787807814457e-17im, 1.0000000000000024 - 1.3877787807814457e-17im, 0.9999999999999919 + 0.0im, 0.9999999999999963 + 6.938893903907228e-18im, 0.9999999999999951 + 9.324138683375338e-18im, 1.0000000000000038 + 5.204170427930421e-18im, 1.0000000000000002 - 8.673617379884035e-18im, 0.9999999999999986 - 2.949029909160572e-17im, 1.0000000000000029 - 6.071532165918825e-18im, 1.0000000000000002 + 6.505213034913027e-19im, 1.0000000000000036 + 4.85722573273506e-17im, 0.9999999999999971 + 4.336808689942018e-19im, 0.9999999999999986 - 8.673617379884035e-18im, 0.9999999999999972 + 1.5178830414797062e-17im, 1.0000000000000027 - 1.734723475976807e-18im, 0.9999999999999979 + 2.42861286636753e-17im, 1.0000000000000027 - 2.0057740190981832e-18im, 1.000000000000003 - 9.974659986866641e-18im, 1.000000000000001 + 5.204170427930421e-18im, 0.9999999999999967 + 2.7755575615628914e-17im
0.7, 0.9999999999999967 + 1.3877787807814457e-17im, 1.0000000000000016 - 1.6479873021779667e-17im, 0.9999999999999917 - 8.673617379884035e-19im, 0.9999999999999957 + 6.938893903907228e-18im, 0.9999999999999949 + 9.703609443745265e-18im, 1.000000000000004 + 3.469446951953614e-18im, 1.000000000000002 - 1.0408340855860843e-17im, 0.9999999999999961 - 3.469446951953614e-17im, 1.0000000000000016 - 6.071532165918825e-18im, 1.0000000000000013 + 2.168404344971009e-19im, 1.0000000000000036 + 4.336808689942018e-17im, 0.9999999999999984 + 1.1926223897340549e-18im, 0.9999999999999982 - 1.0408340855860843e-17im, 0.9999999999999954 + 1.3010426069826053e-17im, 1.0000000000000047 - 6.938893903907228e-18im, 0.9999999999999984 + 2.2551405187698492e-17im, 1.0000000000000029 - 2.1141942363467336e-18im, 1.0000000000000018 - 1.0408340855860843e-17im, 1.0000000000000002 + 4.336808689942018e-18im, 0.999999999999999 + 2.6020852139652106e-17im
0.8, 0.9999999999999963 + 1.734723475976807e-17im, 1.0000000000000002 - 1.474514954580286e-17im, 0.9999999999999912 + 0.0im, 0.9999999999999954 + 1.0408340855860843e-17im, 0.999999999999994 + 9.703609443745265e-18im, 1.0000000000000053 - 3.469446951953614e-18im, 1.0000000000000004 - 9.540979117872439e-18im, 0.9999999999999966 - 3.642919299551295e-17im, 1.000000000000002 - 4.7704895589362195e-18im, 1.0000000000000013 + 4.336808689942018e-19im, 1.0000000000000027 + 3.9898639947466563e-17im, 0.9999999999999961 + 1.1384122811097797e-18im, 1.0 - 1.0408340855860843e-17im, 0.9999999999999966 + 1.2576745200831851e-17im, 1.0000000000000058 - 1.0408340855860843e-17im, 0.9999999999999972 + 2.3418766925686896e-17im, 1.0000000000000036 - 1.951563910473908e-18im, 1.0000000000000042 - 1.0842021724855044e-17im, 1.0000000000000004 + 5.204170427930421e-18im, 0.999999999999998 + 2.688821387764051e-17im
0.9, 0.9999999999999971 + 2.2551405187698492e-17im, 1.0000000000000004 - 1.734723475976807e-17im, 0.9999999999999909 + 0.0im, 0.9999999999999964 + 6.938893903907228e-18im, 0.9999999999999936 + 9.432558900623889e-18im, 1.0000000000000022 - 6.071532165918825e-18im, 1.000000000000001 - 1.0842021724855044e-17im, 0.9999999999999982 - 3.5561831257524545e-17im, 1.0000000000000018 - 4.7704895589362195e-18im, 1.0000000000000024 + 4.336808689942018e-19im, 1.000000000000003 + 4.163336342344337e-17im, 0.9999999999999957 + 1.3823577699190182e-18im, 1.0000000000000007 - 9.107298248878237e-18im, 0.9999999999999976 + 1.1709383462843448e-17im, 1.000000000000005 - 1.214306433183765e-17im, 0.9999999999999971 + 2.0816681711721685e-17im, 1.0000000000000024 - 2.222614453595284e-18im, 1.0000000000000053 - 1.1275702593849246e-17im, 1.0000000000000022 + 5.204170427930421e-18im, 0.9999999999999982 + 2.6020852139652106e-17im
