flowtime, d1, d2, d3
0.0, 1.0 + 1.734723475976807e-18im, 0.9999999999999998 + 0.0im, 0.9999999999999999 + 3.469446951953614e-18im
0.1, 0.9999999999999994 + 6.938893903907228e-18im, 0.9999999999999998 - 1.3010426069826053e-18im, 0.9999999999999979 - 3.469446951953614e-18im
0.2, 1.0000000000000004 + 1.0408340855860843e-17im, 1.0000000000000016 - 3.903127820947816e-18im, 0.9999999999999969 - 6.071532165918825e-18im
0.3, 0.9999999999999966 + 5.204170427930421e-18im, 1.0000000000000027 - 3.469446951953614e-18im, 0.9999999999999966 - 6.071532165918825e-18im
0.4, 0.9999999999999957 + 8.673617379884035e-18im, 1.000000000000002 - 2.6020852139652106e-18im, 0.9999999999999973 - 6.5052130349130266e-18im
0.5, 0.999999999999995 + 1.3877787807814457e-17im, 1.0000000000000013 - 2.168404344971009e-18im, 0.9999999999999984 - 7.806255641895632e-18im
0.6, 0.9999999999999948 + 1.734723475976807e-17im, 1.0000000000000013 - 2.168404344971009e-18im, 1.0000000000000007 - 5.204170427930421e-18im
0.7, 0.999999999999998 + 1.9081958235744878e-17im, 1.0000000000000016 - 2.168404344971009e-18im, 1.0000000000000016 - 1.3877787807814457e-17im
0.8, 0.9999999999999962 + 1.0408340855860843e-17im, 0.9999999999999987 - 2.3852447794681098e-18im, 1.000000000000001 - 1.5612511283791264e-17im
0.9, 0.999999999999996 + 1.0408340855860843e-17im, 1.0000000000000004 - 2.8189256484623115e-18im, 0.9999999999999999 - 8.673617379884035e-18im
1.0, 0.9999999999999963 + 1.0408340855860843e-17im, 1.0 - 1.951563910473908e-18im, 1.0000000000000007 - 6.938893903907228e-18im
1.1, 0.9999999999999966 + 1.5612511283791264e-17im, 0.9999999999999989 - 2.168404344971009e-18im, 1.0000000000000009 - 6.938893903907228e-18im
1.2, 0.9999999999999963 + 1.3877787807814457e-17im, 0.9999999999999994 - 2.3852447794681098e-18im, 1.0000000000000002 - 6.938893903907228e-18im
1.3, 0.9999999999999943 + 1.0408340855860843e-17im, 0.9999999999999982 - 1.951563910473908e-18im, 1.0000000000000002 - 5.204170427930421e-18im
1.4, 0.9999999999999954 + 8.673617379884035e-18im, 0.9999999999999973 - 2.6020852139652106e-18im, 0.9999999999999983 - 5.204170427930421e-18im
1.5, 0.9999999999999951 + 1.1275702593849246e-17im, 0.9999999999999969 - 2.6020852139652106e-18im, 0.9999999999999974 - 3.469446951953614e-18im
1.6, 0.9999999999999947 + 1.3877787807814457e-17im, 0.9999999999999951 - 2.168404344971009e-18im, 0.9999999999999968 - 1.3877787807814457e-17im
1.7, 0.9999999999999957 + 1.1275702593849246e-17im, 0.999999999999995 - 2.8189256484623115e-18im, 0.9999999999999974 - 1.734723475976807e-17im
1.8, 0.9999999999999951 + 1.0408340855860843e-17im, 0.9999999999999969 - 3.0357660829594124e-18im, 0.9999999999999978 - 3.122502256758253e-17im
1.9, 0.999999999999995 + 9.540979117872439e-18im, 0.9999999999999969 - 3.2526065174565133e-18im, 0.9999999999999996 - 4.5102810375396984e-17im
2.0, 0.9999999999999944 + 8.673617379884035e-18im, 0.9999999999999964 - 2.8189256484623115e-18im, 0.999999999999998 - 3.8163916471489756e-17im
2.1, 0.9999999999999966 + 7.806255641895632e-18im, 0.9999999999999961 - 1.734723475976807e-18im, 0.9999999999999964 - 2.6020852139652106e-17im
2.2, 0.9999999999999967 + 6.938893903907228e-18im, 0.999999999999997 - 1.734723475976807e-18im, 0.9999999999999952 - 2.7755575615628914e-17im
