flowtime, dM2R1, dM2R2, dM2R3, dM2R4, dM2R5, dM2R6, dM2R7, dM2R8, dM2R9, dM2R10, dM2R11, dM2R12, dM2R13, dM2R14, dM(mass_num)R15
0.0, 1.0000000000000002 + 1.3877787807814457e-17im, 0.9999999999999999 + 3.469446951953614e-18im, 1.0000000000000002 - 1.734723475976807e-18im, 0.9999999999999999 + 3.469446951953614e-18im, 1.0000000000000002 + 3.469446951953614e-18im, 1.0 - 3.469446951953614e-18im, 1.0000000000000002 + 0.0im, 1.0 + 0.0im, 0.9999999999999998 + 0.0im, 0.9999999999999999 - 8.673617379884035e-19im, 1.0 + 0.0im, 1.0000000000000002 + 1.734723475976807e-18im, 0.9999999999999998 + 3.469446951953614e-18im, 1.0000000000000002 + 0.0im, 0.9999999999999998 + 6.776263578034403e-21im
0.1, 1.000000000000002 - 2.7755575615628914e-17im, 1.0 - 3.469446951953614e-18im, 1.000000000000003 + 0.0im, 0.999999999999998 + 3.469446951953614e-18im, 1.0000000000000016 + 3.469446951953614e-18im, 1.0000000000000009 - 1.0408340855860843e-17im, 0.9999999999999996 + 0.0im, 1.0000000000000004 + 0.0im, 0.9999999999999986 + 4.336808689942018e-19im, 1.0000000000000016 + 0.0im, 1.0000000000000002 + 6.938893903907228e-18im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0000000000000004 + 6.938893903907228e-18im, 0.9999999999999996 + 2.0816681711721685e-17im, 0.9999999999999991 - 6.776263578034403e-21im
0.2, 1.000000000000001 - 2.7755575615628914e-17im, 0.9999999999999998 - 1.734723475976807e-18im, 1.0000000000000036 + 0.0im, 0.9999999999999976 + 4.228388472693467e-18im, 1.0000000000000004 + 1.0408340855860843e-17im, 1.0000000000000009 - 6.938893903907228e-18im, 0.9999999999999996 + 3.469446951953614e-18im, 0.9999999999999982 - 1.734723475976807e-18im, 0.9999999999999986 + 1.5178830414797062e-18im, 1.0000000000000004 - 1.734723475976807e-18im, 1.0000000000000002 + 1.0408340855860843e-17im, 1.0000000000000007 - 3.469446951953614e-18im, 1.0 - 1.3877787807814457e-17im, 1.0000000000000002 + 3.469446951953614e-17im, 0.9999999999999982 + 0.0im
0.3, 1.000000000000002 - 2.0816681711721685e-17im, 0.9999999999999989 - 3.469446951953614e-18im, 1.0000000000000027 + 0.0im, 0.9999999999999976 - 8.673617379884035e-19im, 0.999999999999999 - 1.3877787807814457e-17im, 0.9999999999999979 - 8.673617379884035e-18im, 0.9999999999999991 - 1.3877787807814457e-17im, 0.9999999999999994 - 8.673617379884035e-19im, 0.9999999999999986 + 4.336808689942018e-19im, 0.9999999999999981 - 1.3010426069826053e-18im, 1.000000000000001 + 1.3877787807814457e-17im, 1.0000000000000009 - 1.734723475976807e-18im, 1.0000000000000002 - 1.0408340855860843e-17im, 1.0000000000000004 + 4.163336342344337e-17im, 0.9999999999999992 - 3.3881317890172014e-20im
0.4, 1.0000000000000027 - 2.7755575615628914e-17im, 0.9999999999999974 - 3.469446951953614e-18im, 1.0000000000000024 + 0.0im, 0.9999999999999984 + 1.734723475976807e-18im, 0.9999999999999992 - 3.469446951953614e-18im, 0.9999999999999998 - 1.3444106938820255e-17im, 0.9999999999999979 + 1.3877787807814457e-17im, 0.9999999999999973 - 8.673617379884035e-19im, 0.9999999999999972 - 1.0842021724855044e-19im, 0.9999999999999971 - 6.505213034913027e-19im, 0.999999999999999 + 1.0408340855860843e-17im, 1.0000000000000024 - 1.734723475976807e-18im, 1.000000000000001 - 1.3877787807814457e-17im, 1.000000000000001 + 5.551115123125783e-17im, 1.0000000000000009 - 6.098637220230962e-20im
0.5, 1.0000000000000029 - 1.3877787807814457e-17im, 0.999999999999996 - 3.469446951953614e-18im, 1.0000000000000027 - 1.0408340855860843e-17im, 0.9999999999999983 + 6.938893903907228e-18im, 0.9999999999999966 - 1.0408340855860843e-17im, 0.999999999999999 - 1.6093625997831706e-17im, 0.9999999999999991 + 1.3877787807814457e-17im, 1.0 + 0.0im, 0.9999999999999959 - 5.421010862427522e-20im, 0.9999999999999981 - 6.505213034913027e-19im, 0.9999999999999974 + 0.0im, 1.0000000000000007 - 5.204170427930421e-18im, 1.0000000000000013 - 8.673617379884035e-18im, 0.9999999999999996 + 4.85722573273506e-17im, 1.0000000000000004 - 6.776263578034403e-20im
0.6, 1.0000000000000027 - 1.3877787807814457e-17im, 0.9999999999999952 + 0.0im, 1.0000000000000038 - 1.3877787807814457e-17im, 0.9999999999999983 + 6.938893903907228e-18im, 0.9999999999999963 - 1.5612511283791264e-17im, 0.9999999999999991 - 1.5178830414797062e-17im, 1.0000000000000013 + 3.469446951953614e-17im, 0.9999999999999999 - 4.336808689942018e-19im, 1.0000000000000002 + 5.421010862427522e-20im, 0.9999999999999987 - 1.0842021724855044e-18im, 0.9999999999999978 - 1.0408340855860843e-17im, 0.9999999999999999 - 3.469446951953614e-18im, 1.0 - 1.1275702593849246e-17im, 0.9999999999999993 + 4.85722573273506e-17im, 1.0000000000000018 - 6.437450399132683e-20im
0.7, 1.0000000000000042 - 4.163336342344337e-17im, 0.9999999999999951 + 1.734723475976807e-18im, 1.0000000000000053 - 1.0408340855860843e-17im, 0.9999999999999977 + 0.0im, 0.9999999999999967 - 1.734723475976807e-17im, 1.0000000000000009 - 1.3010426069826053e-17im, 1.000000000000002 + 3.469446951953614e-17im, 1.000000000000001 - 1.3010426069826053e-18im, 1.0000000000000002 + 1.0842021724855044e-19im, 1.000000000000001 - 8.673617379884035e-19im, 0.9999999999999984 - 6.938893903907228e-18im, 1.0 - 3.469446951953614e-18im, 1.000000000000001 - 1.0408340855860843e-17im, 0.9999999999999993 + 6.245004513516506e-17im, 1.0 - 7.115076756936123e-20im
0.8, 1.000000000000004 - 4.85722573273506e-17im, 0.9999999999999948 - 3.469446951953614e-18im, 1.000000000000005 - 1.0408340855860843e-17im, 0.9999999999999979 + 0.0im, 0.9999999999999989 - 1.3877787807814457e-17im, 1.0000000000000018 - 1.214306433183765e-17im, 1.0000000000000022 + 2.7755575615628914e-17im, 1.000000000000001 + 0.0im, 1.0000000000000018 + 5.421010862427522e-19im, 1.0000000000000027 - 8.673617379884035e-19im, 0.9999999999999982 - 1.3877787807814457e-17im, 0.9999999999999983 - 6.938893903907228e-18im, 1.000000000000004 - 7.806255641895632e-18im, 0.9999999999999974 + 6.938893903907228e-17im, 1.0000000000000018 - 6.776263578034403e-20im
0.9, 1.0000000000000047 - 7.632783294297951e-17im, 0.9999999999999954 + 8.673617379884035e-19im, 1.0000000000000064 + 0.0im, 0.9999999999999996 + 6.938893903907228e-18im, 0.9999999999999992 - 1.474514954580286e-17im, 1.000000000000002 - 1.734723475976807e-17im, 1.000000000000002 + 4.163336342344337e-17im, 1.0000000000000004 - 4.336808689942018e-19im, 1.0000000000000024 + 6.505213034913027e-19im, 1.0000000000000033 - 1.734723475976807e-18im, 0.9999999999999988 - 1.734723475976807e-17im, 0.9999999999999977 - 6.938893903907228e-18im, 1.0000000000000047 - 1.3010426069826053e-17im, 0.9999999999999966 + 6.938893903907228e-17im, 1.0000000000000004 - 6.098637220230962e-20im
