m, seta1t10.0
-1.0, 3.423353909479227e-5
-0.8, 3.866921590694912e-5
-0.6, 4.4118914182147795e-5
-0.4, 5.096273237531629e-5
-0.2, 5.980909112023113e-5
-0.1, 6.52819052567627e-5
-0.01, 7.100533590882336e-5
0.01, 7.419048702030236e-5
0.05, 7.721764771511448e-5
0.055, 7.761130756984855e-5
0.06, 7.80085014082791e-5
0.065, 7.840927326429134e-5
0.07, 7.881366771884025e-5
0.075, 7.922172990169718e-5
0.08, 7.963350549296441e-5
0.085, 8.00490407243725e-5
0.09, 8.046838238034603e-5
0.095, 8.089157779882077e-5
0.1, 8.131867487184409e-5
0.105, 8.174972204592477e-5
0.11, 8.21847683221188e-5
0.115, 8.262386325590246e-5
0.12, 8.306705695676725e-5
0.125, 8.351440008758691e-5
0.13, 8.396594386370674e-5
0.135, 8.442174005181758e-5
0.14, 8.48818409685533e-5
0.15, 8.581516899403113e-5
0.16, 8.676635740353154e-5
0.17, 8.773584432916703e-5
0.18, 8.872407648486091e-5
0.19, 8.973150906520752e-5
0.2, 9.075860563104129e-5
0.21, 9.180583798287815e-5
0.22, 9.287368602360005e-5
0.23, 9.396263761193086e-5
0.24, 9.507318840850554e-5
0.25, 9.620584171642867e-5
0.26, 9.73611083184945e-5
0.27, 9.853950631328772e-5
0.28, 9.974156095256622e-5
0.29, 0.00010096780448239736
0.3, 0.00010221877599062762
0.31, 0.00010349502126325938
0.32, 0.00010479709265230208
0.33, 0.00010612554895776385
0.34, 0.00010748095532622983
0.35, 0.00010886388316851907
0.36, 0.00011027491009875526
0.37, 0.00011171461989705519
0.38, 0.0001131836024979356
0.39, 0.00011468245400623895
0.4, 0.00011621177674245118
0.41, 0.00011777217931877701
0.42, 0.00011936427674743971
0.43, 0.0001209886905822615
0.44, 0.00012264604909453016
0.45, 0.0001243369874838771
0.46, 0.00012606214812473484
0.47, 0.00012782218084878144
0.48, 0.00012961774326354137
0.49, 0.00013144950110718264
0.5, 0.0001333181286393222
0.51, 0.00013522430906750594
0.52, 0.00013716873500880527
0.53, 0.00013915210898579811
0.54, 0.0001411751439559902
0.55, 0.00014323856387346334
0.56, 0.0001453431042814192
0.57, 0.00014748951293399438
0.58, 0.0001496785504454085
0.59, 0.0001519109909644979
0.6, 0.00015418762287223623
0.61, 0.00015650924949978993
0.62, 0.00015887668986444166
0.63, 0.0001612907794205933
0.64, 0.00016375237082291177
0.65, 0.0001662623346987351
0.66, 0.00016882156042683283
0.67, 0.00017143095691961812
0.68, 0.0001740914534062438
0.69, 0.00017680400021403625
0.7, 0.0001795695695460931
0.71, 0.00018238915625323656
0.72, 0.00018526377859877401
0.73, 0.0001881944790151046
0.74, 0.0001911823248515303
0.75, 0.00019422840911309763
0.76, 0.00019733385119089089
0.77, 0.00020049979758455144
0.78, 0.00020372742261816657
0.79, 0.00020701792915127714
0.8, 0.0002103725492868897
0.81, 0.00021379254507885578
0.82, 0.00021727920924111049
0.83, 0.00022083386586154647
0.84, 0.00022445787112340405
0.85, 0.00022815261403711135
0.86, 0.0002319195171856605
0.87, 0.00023576003748640746
0.88, 0.00023967566697230737
0.89, 0.00024366793359549216
0.9, 0.00024773840205582196
0.91, 0.00025188867465725825
0.92, 0.0002561203921943304
0.93, 0.00026043523487138465
0.94, 0.00026483492325661903
0.95, 0.000269321219273365
0.96, 0.00027389592723047764
0.97, 0.0002785608948940968
0.98, 0.00028331801460268225
0.99, 0.0002881692244275395
1.0, 0.0002931165093808767
1.01, 0.000298161902673802
1.02, 0.00030330748702663024
1.03, 0.0003085553960344347
1.04, 0.0003139078155908566
1.05, 0.000319366985373902
1.06, 0.00032493520039786024
1.07, 0.00033061481263633086
1.08, 0.0003364082327222315
1.09, 0.0003423179317315935
1.1, 0.0003483464430595285
1.11, 0.00035449636439796454
1.12, 0.0003607703598270118
1.13, 0.00036717116203347167
1.14, 0.0003737015746731366
1.15, 0.0003803644748959721
1.16, 0.00038716281605739124
1.17, 0.0003940996306421858
1.18, 0.0004011780334330479
1.19, 0.00040840122496058463
1.2, 0.0004157724952781377
1.21, 0.00042329522811189734
1.22, 0.00043097290544474154
1.23, 0.0004388091126018106
1.24, 0.0004468075439159336
1.25, 0.0004549720090633926
1.26, 0.0004633064401736857
1.27, 0.00047181489983215907
1.28, 0.00048050159011176
1.29, 0.0004893708627891925
1.3, 0.0004984272309227484
1.31, 0.0005076753819933417
1.32, 0.0005171201928381461
1.33, 0.0005267667466371772
1.34, 0.0005366203522488703
1.35, 0.0005466865662304224
1.36, 0.0005569712179248869
1.37, 0.0005674804380495413
1.38, 0.0005782206912804636
1.39, 0.000589198813399116
1.4, 0.0006004220536491823
1.41, 0.0006118981230491418
1.42, 0.0006236352495219011
1.43, 0.0006356422408420149
1.44, 0.0006479285565687043
1.45, 0.0006605043903385661
1.46, 0.000673380764144956
1.47, 0.0006865696365447953
1.48, 0.0007000840271284819
1.49, 0.0007139381600869408
1.5, 0.0007281476303467796
1.51, 0.0007427295965647021
1.52, 0.0007577030063394261
1.53, 0.0007730888603999538
1.54, 0.000788910524388565
1.55, 0.0008051940993490752
1.56, 0.0008219688654147896
1.57, 0.000839267817837096
1.58, 0.0008571283209703411
1.59, 0.0008755929149804955
1.6, 0.0008947103232031058
1.61, 0.0009145367273408671
1.62, 0.0009351374064905894
1.63, 0.0009565888800481158
1.64, 0.0009789817637450805
1.65, 0.0010024246600674747
1.66, 0.0010270495918793994
1.67, 0.0010530198149073281
1.68, 0.0010805414411261187
1.69, 0.0011098814542541855
1.7, 0.0011413970620003158
1.71, 0.0011755865924270303
1.72, 0.0012131850830169703
1.73, 0.0012553638859061284
1.74, 0.0013042139439052756
1.75, 0.001364209212928308
1.76, 0.0014487851876765867
1.77, 0.0016759191177409475
1.78, 0.001504632173637657
1.79, 0.0015084746564613576
1.8, 0.001538789695737
1.81, 0.001579618379514429
1.82, 0.0016278726270898733
1.83, 0.0016828959285009608
1.84, 0.001744929568129142
1.85, 0.00181474471034378
1.86, 0.0018935698758378984
1.87, 0.0019831378385574555
1.88, 0.0020858139944717764
1.89, 0.00220482310907628
1.9, 0.002344707351081463
1.91, 0.002512898363056511
1.92, 0.0027318953332133473
1.93, 0.003752299742590843
1.94, 0.0038046965201632677
1.95, 0.003981253141794151
1.96, 0.004209750674169243
1.97, 0.004490147972736342
1.98, 0.004836747996432699
1.99, 0.005280122602233138
2.0, 0.009355207091517872
2.01, 0.003318373039495741
2.02, 0.0034762529705461747
2.03, 0.003650743652759536
2.04, 0.003845233295387194
2.05, 0.004064575330642007
2.06, 0.004316083906662565
2.07, 0.004611629001427852
2.08, 0.004972612952810707
2.09, 0.005444167435739594
2.1, 0.006149710853592259
2.11, 0.007679773643770911
2.12, 0.02507468411058804
2.13, 0.0061541485961434305
2.14, 0.005527588979467525
2.15, 0.0054434659760427065
2.16, 0.005537511855285466
2.17, 0.005766652897297728
2.18, 0.006385544360981333
2.19, 0.010043371880119471
2.2, 0.008127215110886998
2.21, 0.007792914259749504
2.22, 0.00777556369254591
2.23, 0.007899120210426557
2.24, 0.008109820830715264
2.25, 0.008386197114406345
2.26, 0.008718948915289954
2.27, 0.009104506726112687
2.28, 0.009542515812622106
2.29, 0.010034735663802042
2.3, 0.010584543401215575
2.31, 0.01119673536617455
2.32, 0.01187750063284741
2.33, 0.012634513921208953
2.34, 0.013477130814645103
2.35, 0.014416689516389908
2.36, 0.015466941134027749
2.37, 0.01664465123345924
2.38, 0.017970446334022713
2.39, 0.01947003264949077
2.4, 0.021176019033365388
2.41, 0.023130808975914508
2.42, 0.025391649114166293
2.43, 0.028041147730237696
2.44, 0.031220142028741668
2.45, 0.03597457170252193
2.46, 0.03630125438843142
2.47, 0.040775620095382166
2.48, 0.046611102432985656
2.49, 0.05444075556815926
2.5, 0.06593580127738749
2.51, 0.09803781213327241
2.52, 0.10150208870023303
2.53, 0.1257632140712579
2.54, 0.13421056252017155
2.55, 0.1342969290585648
2.56, 0.13032475750945777
2.57, 0.1232257911165543
2.58, 0.12485475884971022
2.59, 0.13076577009747575
2.6, 0.13857643364911648
2.61, 0.14758953953749424
2.62, 0.1576187545816505
2.63, 0.16867868356050042
2.64, 0.18085421375626393
2.65, 0.19414221036315182
2.66, 0.20817549705326133
2.67, 0.22190928078290953
2.68, 0.23384422275582312
2.69, 0.2433989816170382
2.7, 0.2520597153884746
2.71, 0.26265695882403145
2.72, 0.2781907018527598
2.73, 0.29842028374712565
2.74, 0.3096301368134451
2.75, 0.30807563177246633
2.76, 0.31360606678403924
2.77, 0.31934957353349375
2.78, 0.282005776464458
2.79, 0.2779927262630713
2.8, 0.280355755403569
2.81, 0.28473296165874323
2.82, 0.29014745710295375
2.83, 0.2962074562778158
2.84, 0.30268478912694935
2.85, 0.30940495808373325
2.86, 0.3162168909419891
2.87, 0.32299535869534773
2.88, 0.32965809147288316
2.89, 0.3361797678255176
2.9, 0.3425846899723098
2.91, 0.3489119608658438
2.92, 0.35516724178588494
2.93, 0.3612862016348886
2.94, 0.36712730830329043
2.95, 0.3724945518459299
2.96, 0.37717714294312826
2.97, 0.38098855797498543
2.98, 0.383790898740047
2.99, 0.3854995361351699
3.0, 0.3860730195327452
