m, seta1, seta2, seta3, seta4
-1.05, 0.23208429915918394, 0.16760534285943146, 0.1282721624703143, 0.011905860238673772
-0.95, 0.24691509138560552, 0.17813247665377593, 0.13967580553362277, 0.013377860992996553
-0.85, 0.2632788591531638, 0.1897251762016439, 0.15264032748168288, 0.015084743887071976
-0.75, 0.28139180211380804, 0.20253042701560992, 0.16744169524614652, 0.01707172921665557
-0.65, 0.30150471711168564, 0.2167182702555056, 0.18441013445910207, 0.019393825265213056
-0.55, 0.3239067287447437, 0.2324842914202966, 0.2039388628177733, 0.022117991791449822
-0.45, 0.34892737236754534, 0.25005111451341505, 0.22649168312143855, 0.025325678118376167
-0.35, 0.3769350872074164, 0.26966773345243816, 0.2526066529798069, 0.029115639988388568
-0.25, 0.4083290654731667, 0.2916048633018313, 0.2828906371725948, 0.03360662676957328
-0.15, 0.443520225852302, 0.3161438200001342, 0.3179956072402191, 0.038938707814343616
-0.05, 0.4828966232103032, 0.34355619455266956, 0.35856174790779594, 0.0452701069443379
0.05, 0.5661843246660887, 0.39997340195699393, 0.4875403221479018, 0.0707660310282253
0.15, 0.6188896326983527, 0.4376182923668459, 0.5187158971703411, 0.07308172620489273
0.25, 0.6757371524569765, 0.4786230290284647, 0.5456406924574883, 0.07414441303915445
0.35, 0.7360661239564367, 0.5225993458734588, 0.5673905802454977, 0.07395575590719573
0.45, 0.7990707134173618, 0.5689880823928409, 0.5840782412254518, 0.07275131171179468
0.55, 0.8640005621530186, 0.6171809132187799, 0.5969098675870326, 0.07092546175740849
0.65, 0.9303432686007403, 0.6666601158297235, 0.6078588728931464, 0.06890003520808502
0.75, 0.9978902607981923, 0.7170815986491121, 0.6192064576883725, 0.06703764559337623
0.85, 1.0666611007409874, 0.7682607840646095, 0.6332372787835356, 0.06565111839065152
0.95, 1.1367461994818235, 0.8200849592597671, 0.6521418502478542, 0.06506397533436083
1.05, 1.2081494323753905, 0.8724105404598044, 0.6779620590909303, 0.0656453561213225
1.15, 1.2806770453766712, 0.9249922606746948, 0.7124078673915251, 0.06778414388953859
1.25, 1.3538861521331085, 0.977464088050968, 0.7564974293608288, 0.07181049673551465
1.35, 1.4271031320269794, 1.0293745859358725, 0.8101159749025497, 0.07788628843345505
1.45, 1.4995235535175748, 1.0802668754499105, 0.8717171643956608, 0.08589696089974204
1.55, 1.5703746203480051, 1.1297718937992802, 0.9384524928432796, 0.09540762823704416
1.65, 1.6390688817411172, 1.1776652257443967, 1.0068750231472403, 0.10575553530536798
1.75, 1.7052646724387808, 1.2238524315761883, 1.0739924363306432, 0.11627918060041459
1.85, 1.7688081370272801, 1.2682955360142623, 1.1381355940604605, 0.12657061051258103
1.95, 1.8296092770180552, 1.3109293385164964, 1.199213916492791, 0.1366090388313283
2.05, 1.931236085737724, 1.381111377801786, 1.328101685060338, 0.16059922325846976
2.15, 1.9984790754334183, 1.4305565128382736, 1.3380795922702617, 0.15614337023197777
2.25, 2.060827175247107, 1.477177375318795, 1.3338720070257135, 0.14904303485422515
2.35, 2.116811451063646, 1.5199937237187118, 1.3146616235974364, 0.13944642582892663
2.45, 2.165065371850077, 1.5579350947585267, 1.2826431206464088, 0.12817573644324393
2.55, 2.2046447790471215, 1.5900472753403638, 1.2427753664692334, 0.11651253841118038
2.65, 2.235254293724288, 1.615702375935758, 1.2014801126816481, 0.10579514570014031
2.75, 2.2572273086145818, 1.6346873366097583, 1.1649777156873293, 0.09707463333795491
2.85, 2.2712622825921507, 1.6471184128756815, 1.1381095573080227, 0.09100113409572369
2.95, 2.2780662032830428, 1.6532432791611296, 1.1239544376635817, 0.08790115977790268
3.05, 2.2780662032830423, 1.6532432791611298, 1.1239544376635815, 0.08790115977790276
3.15, 2.2712622825921494, 1.6471184128756806, 1.1381095573080238, 0.09100113409572366
3.25, 2.257227308614578, 1.6346873366097594, 1.1649777156873302, 0.0970746333379549
3.35, 2.2352542937242883, 1.61570237593576, 1.2014801126816483, 0.10579514570014036
3.45, 2.2046447790471215, 1.5900472753403618, 1.2427753664692316, 0.11651253841118052
3.55, 2.1650653718500754, 1.557935094758527, 1.2826431206464095, 0.12817573644324368
3.65, 2.116811451063644, 1.5199937237187116, 1.3146616235974364, 0.1394464258289268
3.75, 2.060827175247104, 1.4771773753187956, 1.3338720070257135, 0.14904303485422535
3.85, 1.9984790754334187, 1.430556512838274, 1.338079592270262, 0.1561433702319777
3.95, 1.9312360857377302, 1.3811113778017858, 1.3281016850603375, 0.16059922325846998
4.05, 1.8296092770180539, 1.3109293385164975, 1.1992139164927917, 0.1366090388313281
4.15, 1.7688081370272772, 1.2682955360142631, 1.138135594060459, 0.12657061051258123
4.25, 1.7052646724387839, 1.2238524315761887, 1.0739924363306428, 0.11627918060041459
4.35, 1.6390688817411199, 1.1776652257443958, 1.0068750231472379, 0.10575553530536813
4.45, 1.570374620348002, 1.12977189379928, 0.9384524928432767, 0.09540762823704411
4.55, 1.4995235535175782, 1.0802668754499107, 0.8717171643956612, 0.085896960899742
4.65, 1.4271031320269811, 1.029374585935872, 0.81011597490255, 0.07788628843345495
4.75, 1.3538861521331085, 0.977464088050966, 0.7564974293608295, 0.07181049673551462
4.85, 1.2806770453766714, 0.924992260674695, 0.7124078673915247, 0.06778414388953867
4.95, 1.208149432375391, 0.8724105404598035, 0.6779620590909301, 0.0656453561213224
5.05, 1.1367461994818258, 0.8200849592597682, 0.6521418502478527, 0.06506397533436102
5.15, 1.0666611007409872, 0.7682607840646087, 0.6332372787835368, 0.06565111839065153
5.25, 0.9978902607981971, 0.7170815986491124, 0.6192064576883732, 0.06703764559337627
5.35, 0.9303432686007411, 0.6666601158297235, 0.6078588728931473, 0.06890003520808495
5.45, 0.8640005621530183, 0.6171809132187797, 0.5969098675870326, 0.07092546175740853
5.55, 0.7990707134173621, 0.5689880823928406, 0.5840782412254524, 0.07275131171179457
5.65, 0.7360661239564366, 0.5225993458734585, 0.5673905802454958, 0.07395575590719569
5.75, 0.6757371524569757, 0.47862302902846643, 0.5456406924574869, 0.07414441303915448
5.85, 0.618889632698354, 0.4376182923668466, 0.5187158971703417, 0.07308172620489255
5.95, 0.5661843246660887, 0.3999734019569939, 0.4875403221479017, 0.07076603102822523
6.05, 0.48289662321030424, 0.34355619455266956, 0.3585617479077967, 0.045270106944338036
6.15, 0.44352022585230144, 0.31614382000013436, 0.317995607240219, 0.03893870781434366
6.25, 0.40832906547316683, 0.2916048633018318, 0.28289063717259527, 0.03360662676957332
6.35, 0.3769350872074163, 0.2696677334524391, 0.25260665297980744, 0.02911563998838856
6.45, 0.34892737236754456, 0.25005111451341405, 0.2264916831214384, 0.02532567811837619
6.55, 0.3239067287447441, 0.23248429142029614, 0.2039388628177731, 0.022117991791449822
6.65, 0.3015047171116856, 0.21671827025550566, 0.18441013445910204, 0.01939382526521298
6.75, 0.28139180211380926, 0.20253042701560967, 0.16744169524614647, 0.017071729216655576
6.85, 0.2632788591531631, 0.18972517620164386, 0.1526403274816824, 0.015084743887071967
6.95, 0.24691509138560594, 0.17813247665377574, 0.13967580553362283, 0.013377860992996567
7.05, 0.2320842991591835, 0.16760534285943154, 0.12827216247031423, 0.011905860238673767
