m, wheta0t10.0
-1.0, -3.4902189978797134e-15
-0.8, -9.38470305700739e-15
-0.6, -2.7909505529578515e-14
-0.4, -9.450983641335787e-14
-0.2, -3.763991078181058e-13
-0.1, -8.049967912234974e-13
-0.01, -1.6619944602637275e-12
0.01, 2.3632756204033563e-7
0.05, 2.5287132015481193e-7
0.055, 2.5505343013088443e-7
0.06, 2.572621262047265e-7
0.065, 2.5949778929408353e-7
0.07, 2.61760805720041e-7
0.075, 2.6405156727291614e-7
0.08, 2.6637047127987486e-7
0.085, 2.6871792067316e-7
0.09, 2.710943240599154e-7
0.095, 2.735000957931743e-7
0.1, 2.7593565604419737e-7
0.105, 2.78401430876298e-7
0.11, 2.808978523201337e-7
0.115, 2.8342535845083624e-7
0.12, 2.859843934661406e-7
0.125, 2.885754077672439e-7
0.13, 2.9119885804096505e-7
0.135, 2.9385520734329027e-7
0.14, 2.9654492518638855e-7
0.15, 3.020263773535597e-7
0.16, 3.0764710316496984e-7
0.17, 3.134111004253582e-7
0.18, 3.1932247929347857e-7
0.19, 3.253854656292346e-7
0.2, 3.3160440452959853e-7
0.21, 3.3798376406836123e-7
0.22, 3.4452813925393783e-7
0.23, 3.5124225622161685e-7
0.24, 3.5813097667359526e-7
0.25, 3.6519930258491365e-7
0.26, 3.724523811889113e-7
0.27, 3.798955102583931e-7
0.28, 3.8753414369908136e-7
0.29, 3.9537389746856526e-7
0.3, 4.034205558382528e-7
0.31, 4.1168007800869607e-7
0.32, 4.201586050972029e-7
0.33, 4.288624675054464e-7
0.34, 4.377981926816238e-7
0.35, 4.4697251328721823e-7
0.36, 4.563923757750248e-7
0.37, 4.6606494938913343e-7
0.38, 4.7599763558742156e-7
0.39, 4.861980778926378e-7
0.4, 4.966741721696998e-7
0.41, 5.074340773270702e-7
0.42, 5.184862264349442e-7
0.43, 5.298393382528148e-7
0.44, 5.41502429149441e-7
0.45, 5.53484825401407e-7
0.46, 5.657961758464596e-7
0.47, 5.784464648682988e-7
0.48, 5.914460256808036e-7
0.49, 6.048055538828702e-7
0.5, 6.185361212402656e-7
0.51, 6.326491896621076e-7
0.52, 6.471566253208031e-7
0.53, 6.620707128752491e-7
0.54, 6.774041697474789e-7
0.55, 6.931701604046357e-7
0.56, 7.093823105998429e-7
0.57, 7.260547215230374e-7
0.58, 7.432019838209228e-7
0.59, 7.608391914433564e-7
0.6, 7.789819552863358e-7
0.61, 7.976464165997575e-7
0.62, 8.168492601463058e-7
0.63, 8.366077271045205e-7
0.64, 8.569396277172572e-7
0.65, 8.778633537096361e-7
0.66, 8.993978905085802e-7
0.67, 9.215628293164491e-7
0.68, 9.443783791087733e-7
0.69, 9.6786537864438e-7
0.7, 9.920453085975026e-7
0.71, 1.0169403039421634e-6
0.72, 1.0425731667384317e-6
0.73, 1.068967379492076e-6
0.74, 1.0961471192757322e-6
0.75, 1.1241372728317786e-6
0.76, 1.1529634528758702e-6
0.77, 1.1826520158570883e-6
0.78, 1.2132300814349258e-6
0.79, 1.2447255539533519e-6
0.8, 1.2771671462029144e-6
0.81, 1.3105844057775399e-6
0.82, 1.345007744332356e-6
0.83, 1.3804684700731357e-6
0.84, 1.4169988237907123e-6
0.85, 1.4546320187897878e-6
0.86, 1.4934022850316239e-6
0.87, 1.5333449178347586e-6
0.88, 1.5744963314762907e-6
0.89, 1.6168941180273513e-6
0.9, 1.6605771117682277e-6
0.91, 1.705585459529653e-6
0.92, 1.7519606972970318e-6
0.93, 1.7997458334383625e-6
0.94, 1.8489854389046042e-6
0.95, 1.8997257447675347e-6
0.96, 1.9520147474752388e-6
0.97, 2.0059023222082243e-6
0.98, 2.0614403447552037e-6
0.99, 2.118682822336864e-6
1.0, 2.1776860338413874e-6
1.01, 2.2385086799772703e-6
1.02, 2.30121204388765e-6
1.03, 2.3658601628131607e-6
1.04, 2.432520011467025e-6
1.05, 2.5012616978380505e-6
1.06, 2.5721586722338803e-6
1.07, 2.6452879504459192e-6
1.08, 2.7207303520378794e-6
1.09, 2.79857075487206e-6
1.1, 2.878898367102397e-6
1.11, 2.9618070180437764e-6
1.12, 3.047395469452383e-6
1.13, 3.1357677489704575e-6
1.14, 3.227033507672556e-6
1.15, 3.321308403906945e-6
1.16, 3.4187145158577663e-6
1.17, 3.5193807855827657e-6
1.18, 3.623443497575324e-6
1.19, 3.731046795310948e-6
1.2, 3.842343239625419e-6
1.21, 3.9574944132885864e-6
1.22, 4.076671576640647e-6
1.23, 4.200056379835229e-6
1.24, 4.327841637905079e-6
1.25, 4.460232175724646e-6
1.26, 4.597445750877004e-6
1.27, 4.7397140635811014e-6
1.28, 4.887283864103081e-6
1.29, 5.04041816961754e-6
1.3, 5.199397604322577e-6
1.31, 5.364521878692444e-6
1.32, 5.536111426366206e-6
1.33, 5.714509220196335e-6
1.34, 5.900082792661145e-6
1.35, 6.093226490305044e-6
1.36, 6.294363997264247e-6
1.37, 6.503951169513054e-6
1.38, 6.722479229587023e-6
1.39, 6.950478381423293e-6
1.4, 7.188521917385149e-6
1.41, 7.437230904804397e-6
1.42, 7.697279558690612e-6
1.43, 7.969401431440722e-6
1.44, 8.254396581220235e-6
1.45, 8.553139919972524e-6
1.46, 8.8665909927027e-6
1.47, 9.195805505546607e-6
1.48, 9.541949006502248e-6
1.49, 9.906313237047292e-6
1.5, 1.0290335826218294e-5
1.51, 1.0695624206267004e-5
1.52, 1.1123984914138762e-5
1.53, 1.1577459839717507e-5
1.54, 1.2058371542381837e-5
1.55, 1.2569380562530488e-5
1.56, 1.3113558832088838e-5
1.57, 1.36944850436682e-5
1.58, 1.4316370513201083e-5
1.59, 1.4984228245939746e-5
1.6, 1.570410460740109e-5
1.61, 1.6483404050484807e-5
1.62, 1.7331356222552392e-5
1.63, 1.8259708271111075e-5
1.64, 1.928378730220374e-5
1.65, 2.0424199304898024e-5
1.66, 2.1709682764594928e-5
1.67, 2.318219779375311e-5
1.68, 2.4906706400784372e-5
1.69, 2.6991863878545e-5
1.7, 2.9639813276359155e-5
1.71, 3.329018848427188e-5
1.72, 3.91767266060535e-5
1.73, 5.311094758397095e-5
1.74, 1.9470709708886264e-6
1.75, 1.4682040306054884e-6
1.76, 2.397431613430264e-5
1.77, 3.330348578306404e-5
1.78, 3.947757332141391e-5
1.79, 4.4487729504535145e-5
1.8, -2.883230486196348e-5
1.81, -6.615276452041884e-5
1.82, -7.190916627801418e-5
1.83, -7.655978779393234e-5
1.84, -8.095873522393157e-5
1.85, -8.534195548506545e-5
1.86, -8.981470486366988e-5
1.87, -9.443884710949951e-5
1.88, -9.925858617931607e-5
1.89, -0.00010431040049620721
1.9, -0.00010962765931362664
1.91, -0.00011524311978881768
1.92, -0.0001211904849410446
1.93, -0.000127505523921383
1.94, -0.00013422699446230798
1.95, -0.00014139749644734214
1.96, -0.00014906433581258124
1.97, -0.00015728045592260648
1.98, -0.00016610548556346752
1.99, -0.00017560695310973436
2.0, -0.0006844853183978352
2.01, -0.00036689292506383094
2.02, -0.00038927104786120714
2.03, -0.0004134167839347364
2.04, -0.0004394975879835188
2.05, -0.0004676858955925881
2.06, -0.0004981464488259315
2.07, -0.0005310092172048863
2.08, -0.0005663121382366281
2.09, -0.0006038779885835171
2.1, -0.0006430393959954141
2.11, -0.0006819879769657933
2.12, -0.0007161042106989768
2.13, -0.000733177874088493
2.14, -0.0006975779121250572
2.15, -0.0004868372156488761
2.16, 0.00041352872699198525
2.17, 0.0034364016050726174
2.18, -0.0001157863740686631
2.19, -0.00490140707413896
2.2, -0.004905121049183064
2.21, -0.004045288313766189
2.22, -0.00332129517536866
2.23, -0.0028275268098203747
2.24, -0.002513466811744621
2.25, -0.0023280095484784252
2.26, -0.002236786134895243
2.27, -0.0022189826221289755
2.28, -0.002262882128979444
2.29, -0.0023627081638604116
2.3, -0.0025165580325497445
2.31, -0.002724938905303809
2.32, -0.0029895200176801155
2.33, -0.0033118401698407703
2.34, -0.0036918479293278185
2.35, -0.00412634257601718
2.36, -0.004607633375001512
2.37, -0.005122958755400679
2.38, -0.0056552218895694565
2.39, -0.006185241816831766
2.4, -0.0066950669701878575
2.41, -0.007171346141535651
2.42, -0.007607728479904884
2.43, -0.00800580881907824
2.44, -0.008374852546915338
2.45, -0.00873098785437088
2.46, -0.009096609957068987
2.47, -0.009500549929749497
2.48, -0.009979314543605497
