flowtime, wh1, wh2, wh3
0.0, -0.03246522868581138, 4.419995855569695, -8.724858968242255
0.1, -0.005448627427988972, 4.259723173371537, -7.852635646545969
0.2, -0.0015948103182889825, 4.352146366022738, -7.6078517478317815
0.3, -0.0005900570022939532, 4.490805785346983, -7.526448554398271
0.4, -0.0002461352469330913, 4.631349190200033, -7.498361408532832
0.5, -0.00010921477121321859, 4.745660848535462, -7.489692580977488
0.6, -4.999605552865299e-5, 4.79731116430816, -7.488302593538364
0.7, -2.325224763008935e-5, 4.72835980235213, -7.4894986554205625
0.8, -1.0904844526057789e-5, 4.446068232319749, -7.49142493076602
0.9, -5.13831679713535e-6, 3.79883154812767, -7.493362927504896
1.0, -2.4281905706231246e-6, 2.5532411428413333, -7.495056933155402
1.1, -1.1497207205176978e-6, 0.9591907543511465, -7.496437163193682
1.2, -5.451497026675013e-7, 0.23541223138566605, -7.497504941716228
1.3, -2.587664924301593e-7, 0.07526462012012479, -7.498285330902058
1.4, -1.22933706493565e-7, 0.032107954390608526, -7.498808028705866
1.5, -5.844308869077623e-8, 0.016100457333678295, -7.499100077827141
1.6, -2.7799684780840796e-8, 0.008809746254634878, -7.4991834402937885
1.7, -1.3229632543715587e-8, 0.005066189961080175, -7.499074508776613
1.8, -6.29827894373475e-9, 0.0030082886412582488, -7.498784327713128
1.9, -2.9993945457714355e-9, 0.00183043568971033, -7.498319018339077
2.0, -1.4287602845659838e-9, 0.0011378560335983238, -7.49768020601533
2.1, -6.80737656011751e-10, 0.0007218573583482033, -7.4968653753960535
2.2, -3.2439841875900996e-10, 0.00046712280054316544, -7.495868130957271
2.3, -1.5461189401290796e-10, 0.000308173127667329, -7.494678360578473
2.4, -7.369893850856973e-11, 0.00020710467535542434, -7.493282306737992
2.5, -3.513375348014344e-11, 0.00014161942115027996, -7.491662551269608
2.6, -1.6750401956665135e-11, 9.839709682779008e-5, -7.48979791885986
2.7, -7.986508598817076e-12, 6.935566176230904e-5, -7.487663302919184
2.8, -3.808153805675308e-12, 4.951146182098696e-5, -7.485229415686813
2.9, -1.8159062103722212e-12, 3.5739446636134894e-5, -7.482462462640073
3.0, -8.659447002347825e-13, 2.604603290372694e-5, -7.47932373953297
3.1, -4.1295399467778237e-13, 1.913719678089182e-5, -7.475769148679831
3.2, -1.9693614593857057e-13, 1.4158465324017249e-5, -7.471748629409367
3.3, -9.392027102108047e-14, 1.0536152164327856e-5, -7.46720549589482
3.4, -4.479212795337796e-14, 7.878954852345193e-6, -7.4620756737933736
3.5, -2.1362448468993627e-14, 5.916009988671283e-6, -7.456286825240064
3.6, -1.0188405055028703e-14, 4.4572733770414605e-6, -7.449757349719406
3.7, -4.859210465717223e-15, 3.3677696614549017e-6, -7.442395246115943
3.8, -2.3175504099629558e-15, 2.5505882776461704e-6, -7.434096818792534
3.9, -1.1053416549760902e-15, 1.9354799652061128e-6, -7.424745207808492
4.0, -5.271880083527101e-16, 1.4710951688412823e-6, -7.414208720324071
4.1, -2.5144137402350986e-16, 1.1196270960674023e-6, -7.402338936795561
4.2, -1.1992426788532042e-16, 8.530663446346379e-7, -7.388968561703026
4.3, -5.719740785065197e-17, 6.505511470414898e-7, -7.373908984242779
4.4, -2.7280544568873883e-17, 4.964726140284207e-7, -7.356947509633152
4.5, -1.3011546909520041e-17, 3.791068628486708e-7, -7.337844216454557
4.6, -6.20578651895106e-18, 2.896191352355424e-7, -7.31632838983115
4.7, -2.959725604226795e-18, 2.2133333734539885e-7, -7.292094474425261
4.8, -1.4115657034787248e-18, 1.691927746361074e-7, -7.264797485443172
4.9, -6.731834634441986e-19, 1.2935978747302564e-7, -7.234047810647825
5.0, -3.210357128093147e-19, 9.891705818806382e-8, -7.199405332555973
5.1, -1.5308910799942538e-19, 7.564383285423974e-8, -7.160372798880457
5.2, -7.293858922049967e-20, 5.784766303951188e-8, -7.116388372878246
5.3, -3.473818008347134e-20, 4.423750185148275e-8, -7.066817306690915
5.4, -1.6520913067622173e-20, 3.382773784117237e-8, -7.010942704667016
5.5, -7.84046954359066e-21, 2.586546163537379e-8, -6.947955386957101
5.6, -3.6887490142081986e-21, 1.9775235980184256e-8, -6.876942936513348
5.7, -1.7428899608628545e-21, 1.5117089623634328e-8, -6.79687812965166
5.8, -8.187436270850266e-22, 1.155452570555253e-8, -6.706607132347474
5.9, -3.8007204016580207e-22, 8.830129659269253e-9, -6.6048381203118085
