flowtime, wM3R1, wM3R2, wM3R3, wM3R4, wM3R5, wM3R6, wM3R7, wM3R8, wM3R9, wM3R10, wM3R11, wM3R12, wM3R13, wM3R14, wM3R15
0.0, -0.9354854526460052, -0.8085404036711065, -0.8547796249681033, -0.8368677598374169, -0.6720437576758919, -0.9813678346793914, -0.9772625525151554, -0.7635078881205268, -0.8734900813944697, -0.9390535449775209, -0.8465482570599001, -0.7813223198499137, -0.9813218655092142, -0.7392340451069216, -0.776637215535794
0.1, -0.9169623128344635, -0.7731526227598094, -0.8302320263381293, -0.8092218503669051, -0.6350079147113723, -0.9745420741651022, -0.9699501637229272, -0.7357412464030484, -0.8350892384215078, -0.9260601619759817, -0.826191316767437, -0.7429325933060045, -0.9748455068460867, -0.6988573798991621, -0.7499710419214193
0.2, -0.8823120936378529, -0.7166591607147085, -0.7837159784288017, -0.7612015005620626, -0.5757259746787023, -0.9631782169838858, -0.9575058765381581, -0.6839436594286156, -0.7724136206364014, -0.9023457095313867, -0.7906095521406094, -0.6783811098980732, -0.9634876366999903, -0.6361952990250617, -0.7016428830515629
0.3, -0.8267383690758332, -0.640671845398135, -0.7137459566823687, -0.6920485923522774, -0.498422525516968, -0.9460617586509216, -0.938199328729748, -0.6075590207732726, -0.6869264585573643, -0.8635003429466339, -0.7367299692136919, -0.5922138708990388, -0.9455504937729912, -0.5547352876223334, -0.6331135117954656
0.4, -0.7502396414651287, -0.5514555170411991, -0.626012023110746, -0.6060115108467701, -0.41147175701443395, -0.9216559178765871, -0.9093664673334225, -0.513391487311171, -0.5879959427014616, -0.8045603642136957, -0.6629568859008543, -0.49619408159642264, -0.9185560357473047, -0.46242627707624956, -0.5510164157315627
0.5, -0.6587873545920597, -0.45762652323772146, -0.5312910296459196, -0.5121765039583862, -0.3245071223527805, -0.8881592662825075, -0.8670427211939902, -0.41404784381849175, -0.4876529306997408, -0.7233945615187705, -0.572455603003451, -0.4025878671435109, -0.879163561659461, -0.3694966293661015, -0.46448675574260656
0.6, -0.5600097309922565, -0.366513639824978, -0.43900684944061397, -0.4201696542286729, -0.24514281957707232, -0.8436682254490401, -0.8060860071330183, -0.3209368261448732, -0.3946360115580475, -0.6248634669997578, -0.4742293664234497, -0.3188725229723012, -0.823714724394793, -0.2838458358820548, -0.3815902706611337
0.7, -0.4613467207330765, -0.2828470485310361, -0.35464331786953746, -0.33645276310842354, -0.17779604666657103, -0.7865909815358018, -0.7224003096369083, -0.240346393282617, -0.31322425601070064, -0.520293204900037, -0.3789324372360923, -0.24748886821881355, -0.7503193904913419, -0.20939235392108044, -0.3075364019396782
0.8, -0.36944791553105394, -0.20973793881427344, -0.28092496245959664, -0.2639839714524816, -0.12378484616852, -0.7165187152749009, -0.6182067977840443, -0.1742855554218856, -0.24449391403354875, -0.42123363635156713, -0.2935806225099613, -0.18819254736033494, -0.6619953765650927, -0.1473968686665227, -0.24435610486941434
0.9, -0.28830618596277435, -0.14939655839672794, -0.21880454798867338, -0.20348917661618146, -0.08223516894576453, -0.6354314683767435, -0.505118419707877, -0.12240587740837207, -0.187825123085125, -0.3342024025527652, -0.22053935473435954, -0.1399743556885776, -0.5669663157100737, -0.0977860714314281, -0.1916694899737361
